county_code,county_kts,county_name
201,10030210101000,Powiat bolesławiecki
202,10030210302000,Powiat dzierżoniowski
203,10030210203000,Powiat głogowski
204,10030210204000,Powiat górowski
205,10030210105000,Powiat jaworski
206,10030210106000,Powiat karkonoski
207,10030210107000,Powiat kamiennogórski
208,10030210308000,Powiat kłodzki
209,10030210209000,Powiat legnicki
210,10030210110000,Powiat lubański
211,10030210211000,Powiat lubiński
212,10030210112000,Powiat lwówecki
213,10030210413000,Powiat milicki
214,10030210414000,Powiat oleśnicki
215,10030210415000,Powiat oławski
216,10030210216000,Powiat polkowicki
217,10030210417000,Powiat strzeliński
218,10030210418000,Powiat średzki
219,10030210319000,Powiat świdnicki
220,10030210420000,Powiat trzebnicki
221,10030210321000,Powiat wałbrzyski
222,10030210422000,Powiat wołowski
223,10030210423000,Powiat wrocławski
224,10030210324000,Powiat ząbkowicki
225,10030210125000,Powiat zgorzelecki
226,10030210126000,Powiat złotoryjski
261,10030210161000,Powiat m. Jelenia Góra
262,10030210262000,Powiat m. Legnica
264,10030210564000,Powiat m. Wrocław
265,10030210365000,Powiat m. Wałbrzych
401,10040410801000,Powiat aleksandrowski
402,10040410702000,Powiat brodnicki
403,10040410603000,Powiat bydgoski
404,10040410704000,Powiat chełmiński
405,10040410705000,Powiat golubsko-dobrzyński
406,10040410706000,Powiat grudziądzki
407,10040416707000,Powiat inowrocławski
408,10040410808000,Powiat lipnowski
409,10040416709000,Powiat mogileński
410,10040416710000,Powiat nakielski
411,10040410811000,Powiat radziejowski
412,10040410712000,Powiat rypiński
413,10040416813000,Powiat sępoleński
414,10040416814000,Powiat świecki
415,10040410615000,Powiat toruński
416,10040416816000,Powiat tucholski
417,10040410717000,Powiat wąbrzeski
418,10040410818000,Powiat włocławski
419,10040416719000,Powiat żniński
461,10040410661000,Powiat m. Bydgoszcz
462,10040410762000,Powiat m. Grudziądz
463,10040410663000,Powiat m. Toruń
464,10040410864000,Powiat m. Włocławek
601,10060610901000,Powiat bialski
602,10060611002000,Powiat biłgorajski
603,10060611003000,Powiat chełmski
604,10060611004000,Powiat hrubieszowski
605,10060611205000,Powiat janowski
606,10060611006000,Powiat krasnostawski
607,10060611207000,Powiat kraśnicki
608,10060611108000,Powiat lubartowski
609,10060611109000,Powiat lubelski
610,10060611110000,Powiat łęczyński
611,10060611211000,Powiat łukowski
612,10060611212000,Powiat opolski
613,10060610913000,Powiat parczewski
614,10060611214000,Powiat puławski
615,10060610915000,Powiat radzyński
616,10060611216000,Powiat rycki
617,10060611117000,Powiat świdnicki
618,10060611018000,Powiat tomaszowski
619,10060610919000,Powiat włodawski
620,10060611020000,Powiat zamojski
661,10060610961000,Powiat m. Biała Podlaska
662,10060611062000,Powiat m. Chełm
663,10060611163000,Powiat m. Lublin
664,10060611064000,Powiat m. Zamość
801,10020811301000,Powiat gorzowski
802,10020811402000,Powiat krośnieński
803,10020811303000,Powiat międzyrzecki
804,10020811404000,Powiat nowosolski
805,10020811305000,Powiat słubicki
806,10020811306000,Powiat strzelecko-drezdenecki
807,10020811307000,Powiat sulęciński
808,10020811408000,Powiat świebodziński
809,10020811409000,Powiat zielonogórski
810,10020811410000,Powiat żagański
811,10020811411000,Powiat żarski
812,10020811412000,Powiat wschowski
861,10020811361000,Powiat m. Gorzów Wielkopolski
862,10020811462000,Powiat m. Zielona Góra
1001,10051011701000,Powiat bełchatowski
1002,10051011902000,Powiat kutnowski
1003,10051011803000,Powiat łaski
1004,10051011904000,Powiat łęczycki
1005,10051011905000,Powiat łowicki
1006,10051011506000,Powiat łódzki wschodni
1007,10051011707000,Powiat opoczyński
1008,10051011508000,Powiat pabianicki
1009,10051011809000,Powiat pajęczański
1010,10051011710000,Powiat piotrkowski
1011,10051011811000,Powiat poddębicki
1012,10051011712000,Powiat radomszczański
1013,10051011913000,Powiat rawski
1014,10051011814000,Powiat sieradzki
1015,10051011915000,Powiat skierniewicki
1016,10051011716000,Powiat tomaszowski
1017,10051011817000,Powiat wieluński
1018,10051011818000,Powiat wieruszowski
1019,10051011819000,Powiat zduńskowolski
1020,10051011520000,Powiat zgierski
1021,10051011521000,Powiat brzeziński
1061,10051011661000,Powiat m. Łódź
1062,10051011762000,Powiat m. Piotrków Trybunalski
1063,10051011963000,Powiat m. Skierniewice
1201,10011212001000,Powiat bocheński
1202,10011212402000,Powiat brzeski
1203,10011212303000,Powiat chrzanowski
1204,10011212404000,Powiat dąbrowski
1205,10011212205000,Powiat gorlicki
1206,10011212006000,Powiat krakowski
1207,10011212207000,Powiat limanowski
1208,10011212008000,Powiat miechowski
1209,10011212009000,Powiat myślenicki
1210,10011212210000,Powiat nowosądecki
1211,10011216911000,Powiat nowotarski
1212,10011212312000,Powiat olkuski
1213,10011212313000,Powiat oświęcimski
1214,10011212014000,Powiat proszowicki
1215,10011216915000,Powiat suski
1216,10011212416000,Powiat tarnowski
1217,10011216917000,Powiat tatrzański
1218,10011212318000,Powiat wadowicki
1219,10011212019000,Powiat wielicki
1261,10011212161000,Powiat m. Kraków
1262,10011212262000,Powiat m. Nowy Sącz
1263,10011212463000,Powiat m. Tarnów
1401,10071422701000,Powiat białobrzeski
1402,10071422502000,Powiat ciechanowski
1403,10071427103000,Powiat garwoliński
1404,10071427004000,Powiat gostyniński
1405,10071413005000,Powiat grodziski
1406,10071427306000,Powiat grójecki
1407,10071422707000,Powiat kozienicki
1408,10071412908000,Powiat legionowski
1409,10071422709000,Powiat lipski
1410,10071427110000,Powiat łosicki
1411,10071422611000,Powiat makowski
1412,10071412912000,Powiat miński
1413,10071422513000,Powiat mławski
1414,10071413014000,Powiat nowodworski
1415,10071422615000,Powiat ostrołęcki
1416,10071422616000,Powiat ostrowski
1417,10071412917000,Powiat otwocki
1418,10071413018000,Powiat piaseczyński
1419,10071427019000,Powiat płocki
1420,10071422520000,Powiat płoński
1421,10071413021000,Powiat pruszkowski
1422,10071422622000,Powiat przasnyski
1423,10071422723000,Powiat przysuski
1424,10071422524000,Powiat pułtuski
1425,10071422725000,Powiat radomski
1426,10071427126000,Powiat siedlecki
1427,10071427027000,Powiat sierpecki
1428,10071427328000,Powiat sochaczewski
1429,10071427129000,Powiat sokołowski
1430,10071422730000,Powiat szydłowiecki
1432,10071413032000,Powiat warszawski zachodni
1433,10071427133000,Powiat węgrowski
1434,10071412934000,Powiat wołomiński
1435,10071422635000,Powiat wyszkowski
1436,10071422736000,Powiat zwoleński
1437,10071422537000,Powiat żuromiński
1438,10071427338000,Powiat żyrardowski
1461,10071422661000,Powiat m. Ostrołęka
1462,10071427062000,Powiat m. Płock
1463,10071422763000,Powiat m. Radom
1464,10071427164000,Powiat m. Siedlce
1465,10071412865000,Powiat m. st. Warszawa
1601,10031613101000,Powiat brzeski
1602,10031613102000,Powiat głubczycki
1603,10031613203000,Powiat kędzierzyńsko-kozielski
1604,10031613204000,Powiat kluczborski
1605,10031613205000,Powiat krapkowicki
1606,10031613106000,Powiat namysłowski
1607,10031613107000,Powiat nyski
1608,10031613208000,Powiat oleski
1609,10031613209000,Powiat opolski
1610,10031613110000,Powiat prudnicki
1611,10031613211000,Powiat strzelecki
1661,10031613261000,Powiat m. Opole
1801,10061813301000,Powiat bieszczadzki
1802,10061813302000,Powiat brzozowski
1803,10061813603000,Powiat dębicki
1804,10061813404000,Powiat jarosławski
1805,10061813305000,Powiat jasielski
1806,10061813506000,Powiat kolbuszowski
1807,10061813307000,Powiat krośnieński
1808,10061813608000,Powiat leżajski
1809,10061813409000,Powiat lubaczowski
1810,10061813510000,Powiat łańcucki
1811,10061813611000,Powiat mielecki
1812,10061813612000,Powiat niżański
1813,10061813413000,Powiat przemyski
1814,10061813414000,Powiat przeworski
1815,10061813515000,Powiat ropczycko-sędziszowski
1816,10061813516000,Powiat rzeszowski
1817,10061813317000,Powiat sanocki
1818,10061813618000,Powiat stalowowolski
1819,10061813519000,Powiat strzyżowski
1820,10061813620000,Powiat tarnobrzeski
1821,10061813321000,Powiat leski
1861,10061813361000,Powiat m. Krosno
1862,10061813462000,Powiat m. Przemyśl
1863,10061813563000,Powiat m. Rzeszów
1864,10061813664000,Powiat m. Tarnobrzeg
2001,10062013901000,Powiat augustowski
2002,10062013702000,Powiat białostocki
2003,10062013803000,Powiat bielski
2004,10062013904000,Powiat grajewski
2005,10062013805000,Powiat hajnowski
2006,10062013806000,Powiat kolneński
2007,10062013807000,Powiat łomżyński
2008,10062013908000,Powiat moniecki
2009,10062013909000,Powiat sejneński
2010,10062013810000,Powiat siemiatycki
2011,10062013711000,Powiat sokólski
2012,10062013912000,Powiat suwalski
2013,10062013813000,Powiat wysokomazowiecki
2014,10062013814000,Powiat zambrowski
2061,10062013761000,Powiat m. Białystok
2062,10062013862000,Powiat m. Łomża
2063,10062013963000,Powiat m. Suwałki
2201,10042214101000,Powiat bytowski
2202,10042217202000,Powiat chojnicki
2203,10042217203000,Powiat człuchowski
2204,10042214004000,Powiat gdański
2205,10042214005000,Powiat kartuski
2206,10042217206000,Powiat kościerski
2207,10042214207000,Powiat kwidzyński
2208,10042214108000,Powiat lęborski
2209,10042214209000,Powiat malborski
2210,10042214010000,Powiat nowodworski
2211,10042214011000,Powiat pucki
2212,10042214112000,Powiat słupski
2213,10042214213000,Powiat starogardzki
2214,10042214214000,Powiat tczewski
2215,10042214015000,Powiat wejherowski
2216,10042214216000,Powiat sztumski
2261,10042214361000,Powiat m. Gdańsk
2262,10042214362000,Powiat m. Gdynia
2263,10042214163000,Powiat m. Słupsk
2264,10042214364000,Powiat m. Sopot
2401,10012415001000,Powiat będziński
2402,10012414402000,Powiat bielski
2403,10012414403000,Powiat cieszyński
2404,10012414604000,Powiat częstochowski
2405,10012414705000,Powiat gliwicki
2406,10012414606000,Powiat kłobucki
2407,10012414507000,Powiat lubliniecki
2408,10012415108000,Powiat mikołowski
2409,10012414609000,Powiat myszkowski
2410,10012415110000,Powiat pszczyński
2411,10012414911000,Powiat raciborski
2412,10012414912000,Powiat rybnicki
2413,10012414513000,Powiat tarnogórski
2414,10012415114000,Powiat bieruńsko-lędziński
2415,10012414915000,Powiat wodzisławski
2416,10012415016000,Powiat zawierciański
