muni_code,muni_kts,muni_name,county_kts,county_code,county_name
201011,10030210101011,Bolesławiec (1),10030210101000,201,Powiat bolesławiecki
201022,10030210101022,Bolesławiec (2),10030210101000,201,Powiat bolesławiecki
201032,10030210101032,Gromadka (2),10030210101000,201,Powiat bolesławiecki
201043,10030210101043,Nowogrodziec (3),10030210101000,201,Powiat bolesławiecki
201044,10030210101044,Nowogrodziec - miasto (4),10030210101000,201,Powiat bolesławiecki
201045,10030210101045,Nowogrodziec - obszar wiejski (5),10030210101000,201,Powiat bolesławiecki
201052,10030210101052,Osiecznica (2),10030210101000,201,Powiat bolesławiecki
201062,10030210101062,Warta Bolesławiecka (2),10030210101000,201,Powiat bolesławiecki
202011,10030210302011,Bielawa (1),10030210302000,202,Powiat dzierżoniowski
202021,10030210302021,Dzierżoniów (1),10030210302000,202,Powiat dzierżoniowski
202033,10030210302033,Pieszyce (3),10030210302000,202,Powiat dzierżoniowski
202034,10030210302034,Pieszyce - miasto (4),10030210302000,202,Powiat dzierżoniowski
202035,10030210302035,Pieszyce - obszar wiejski (5),10030210302000,202,Powiat dzierżoniowski
202041,10030210302041,Piława Górna (1),10030210302000,202,Powiat dzierżoniowski
202052,10030210302052,Dzierżoniów (2),10030210302000,202,Powiat dzierżoniowski
202062,10030210302062,Łagiewniki (2),10030210302000,202,Powiat dzierżoniowski
202073,10030210302073,Niemcza (3),10030210302000,202,Powiat dzierżoniowski
202074,10030210302074,Niemcza - miasto (4),10030210302000,202,Powiat dzierżoniowski
202075,10030210302075,Niemcza - obszar wiejski (5),10030210302000,202,Powiat dzierżoniowski
203011,10030210203011,Głogów (1),10030210203000,203,Powiat głogowski
203022,10030210203022,Głogów (2),10030210203000,203,Powiat głogowski
203032,10030210203032,Jerzmanowa (2),10030210203000,203,Powiat głogowski
203042,10030210203042,Kotla (2),10030210203000,203,Powiat głogowski
203052,10030210203052,Pęcław (2),10030210203000,203,Powiat głogowski
203062,10030210203062,Żukowice (2),10030210203000,203,Powiat głogowski
204013,10030210204013,Góra (3),10030210204000,204,Powiat górowski
204014,10030210204014,Góra - miasto (4),10030210204000,204,Powiat górowski
204015,10030210204015,Góra - obszar wiejski (5),10030210204000,204,Powiat górowski
204022,10030210204022,Jemielno (2),10030210204000,204,Powiat górowski
204032,10030210204032,Niechlów (2),10030210204000,204,Powiat górowski
204043,10030210204043,Wąsosz (3),10030210204000,204,Powiat górowski
204044,10030210204044,Wąsosz - miasto (4),10030210204000,204,Powiat górowski
204045,10030210204045,Wąsosz - obszar wiejski (5),10030210204000,204,Powiat górowski
205011,10030210105011,Jawor (1),10030210105000,205,Powiat jaworski
205023,10030210105023,Bolków (3),10030210105000,205,Powiat jaworski
205024,10030210105024,Bolków - miasto (4),10030210105000,205,Powiat jaworski
205025,10030210105025,Bolków - obszar wiejski (5),10030210105000,205,Powiat jaworski
205032,10030210105032,Męcinka (2),10030210105000,205,Powiat jaworski
205042,10030210105042,Mściwojów (2),10030210105000,205,Powiat jaworski
205052,10030210105052,Paszowice (2),10030210105000,205,Powiat jaworski
205062,10030210105062,Wądroże Wielkie (2),10030210105000,205,Powiat jaworski
206011,10030210106011,Karpacz (1),10030210106000,206,Powiat karkonoski
206021,10030210106021,Kowary (1),10030210106000,206,Powiat karkonoski
206031,10030210106031,Piechowice (1),10030210106000,206,Powiat karkonoski
206041,10030210106041,Szklarska Poręba (1),10030210106000,206,Powiat karkonoski
206052,10030210106052,Janowice Wielkie (2),10030210106000,206,Powiat karkonoski
206062,10030210106062,Jeżów Sudecki (2),10030210106000,206,Powiat karkonoski
206072,10030210106072,Mysłakowice (2),10030210106000,206,Powiat karkonoski
206082,10030210106082,Podgórzyn (2),10030210106000,206,Powiat karkonoski
206092,10030210106092,Stara Kamienica (2),10030210106000,206,Powiat karkonoski
207011,10030210107011,Kamienna Góra (1),10030210107000,207,Powiat kamiennogórski
207022,10030210107022,Kamienna Góra (2),10030210107000,207,Powiat kamiennogórski
207033,10030210107033,Lubawka (3),10030210107000,207,Powiat kamiennogórski
207034,10030210107034,Lubawka - miasto (4),10030210107000,207,Powiat kamiennogórski
207035,10030210107035,Lubawka - obszar wiejski (5),10030210107000,207,Powiat kamiennogórski
207042,10030210107042,Marciszów (2),10030210107000,207,Powiat kamiennogórski
208011,10030210308011,Duszniki-Zdrój (1),10030210308000,208,Powiat kłodzki
208021,10030210308021,Kłodzko (1),10030210308000,208,Powiat kłodzki
208031,10030210308031,Kudowa-Zdrój (1),10030210308000,208,Powiat kłodzki
208041,10030210308041,Nowa Ruda (1),10030210308000,208,Powiat kłodzki
208051,10030210308051,Polanica-Zdrój (1),10030210308000,208,Powiat kłodzki
208063,10030210308063,Bystrzyca Kłodzka (3),10030210308000,208,Powiat kłodzki
208064,10030210308064,Bystrzyca Kłodzka - miasto (4),10030210308000,208,Powiat kłodzki
208065,10030210308065,Bystrzyca Kłodzka - obszar wiejski (5),10030210308000,208,Powiat kłodzki
208072,10030210308072,Kłodzko (2),10030210308000,208,Powiat kłodzki
208083,10030210308083,Lądek-Zdrój (3),10030210308000,208,Powiat kłodzki
208084,10030210308084,Lądek-Zdrój - miasto (4),10030210308000,208,Powiat kłodzki
208085,10030210308085,Lądek-Zdrój - obszar wiejski (5),10030210308000,208,Powiat kłodzki
208092,10030210308092,Lewin Kłodzki (2),10030210308000,208,Powiat kłodzki
208103,10030210308103,Międzylesie (3),10030210308000,208,Powiat kłodzki
208104,10030210308104,Międzylesie - miasto (4),10030210308000,208,Powiat kłodzki
208105,10030210308105,Międzylesie - obszar wiejski (5),10030210308000,208,Powiat kłodzki
208112,10030210308112,Nowa Ruda (2),10030210308000,208,Powiat kłodzki
208123,10030210308123,Radków (3),10030210308000,208,Powiat kłodzki
208124,10030210308124,Radków - miasto (4),10030210308000,208,Powiat kłodzki
208125,10030210308125,Radków - obszar wiejski (5),10030210308000,208,Powiat kłodzki
208133,10030210308133,Stronie Śląskie (3),10030210308000,208,Powiat kłodzki
208134,10030210308134,Stronie Śląskie - miasto (4),10030210308000,208,Powiat kłodzki
208135,10030210308135,Stronie Śląskie - obszar wiejski (5),10030210308000,208,Powiat kłodzki
208143,10030210308143,Szczytna (3),10030210308000,208,Powiat kłodzki
208144,10030210308144,Szczytna - miasto (4),10030210308000,208,Powiat kłodzki
208145,10030210308145,Szczytna - obszar wiejski (5),10030210308000,208,Powiat kłodzki
209011,10030210209011,Chojnów (1),10030210209000,209,Powiat legnicki
209022,10030210209022,Chojnów (2),10030210209000,209,Powiat legnicki
209032,10030210209032,Krotoszyce (2),10030210209000,209,Powiat legnicki
209042,10030210209042,Kunice (2),10030210209000,209,Powiat legnicki
209052,10030210209052,Legnickie Pole (2),10030210209000,209,Powiat legnicki
209062,10030210209062,Miłkowice (2),10030210209000,209,Powiat legnicki
209073,10030210209073,Prochowice (3),10030210209000,209,Powiat legnicki
