county_code,econ_active_population
201,45666.0
202,45049.0
203,36610.0
204,25438.0
205,24914.0
206,26028.0
207,21568.0
208,81705.0
209,28066.0
210,27984.0
211,48300.0
212,35598.0
213,27027.0
214,71488.0
215,52309.0
216,47723.0
217,32220.0
218,38295.0
219,90052.0
220,74375.0
221,27089.0
222,37888.0
223,130483.0
224,48085.0
225,52788.0
226,20660.0
261,32561.0
262,43082.0
264,358857.0
265,41325.0
401,23342.0
402,40553.0
403,77217.0
404,21231.0
405,24404.0
406,22589.0
407,92112.0
408,33164.0
409,35969.0
410,70752.0
411,21776.0
412,18626.0
413,31481.0
414,59839.0
415,50982.0
416,29147.0
417,14228.0
418,54899.0
419,54380.0
461,153139.0
462,37221.0
463,88894.0
464,43767.0
601,46633.0
602,51370.0
603,35907.0
604,24303.0
605,28050.0
606,24723.0
607,44266.0
608,46008.0
609,86930.0
610,34812.0
611,46889.0
612,40578.0
613,19761.0
614,54477.0
615,25445.0
616,32610.0
617,35265.0
618,39724.0
619,14254.0
620,53810.0
661,24532.0
662,23739.0
663,153346.0
664,24260.0
801,39052.0
802,30624.0
803,43887.0
804,49043.0
805,40886.0
806,37487.0
807,26049.0
808,42949.0
809,60260.0
810,43566.0
811,49197.0
812,32578.0
861,53740.0
862,66693.0
1001,57418.0
1002,51443.0
1003,36217.0
1004,25802.0
1005,36651.0
1006,59128.0
1007,52726.0
1008,56683.0
1009,33869.0
1010,53337.0
1011,29754.0
1012,54219.0
1013,29166.0
1014,70842.0
1015,18584.0
1016,50748.0
1017,48627.0
1018,30999.0
1019,32756.0
1020,104540.0
1021,14803.0
1061,324938.0
1062,30605.0
1063,21982.0
1201,56318.0
1202,61655.0
1203,100930.0
1204,38435.0
1205,56397.0
1206,201611.0
1207,60564.0
1208,30931.0
1209,99885.0
1210,122073.0
1211,90539.0
1212,80665.0
1213,100110.0
1214,33301.0
1215,45316.0
1216,127078.0
1217,28953.0
1218,119028.0
1219,119645.0
1261,419245.0
1262,34721.0
1263,43088.0
1401,22685.0
1402,44852.0
1403,61335.0
1404,21806.0
1405,78434.0
1406,81111.0
1407,38262.0
1408,72688.0
1409,21065.0
1410,18640.0
1411,21167.0
1412,95042.0
1413,33422.0
1414,53407.0
1415,44566.0
1416,33313.0
1417,71542.0
