county_code,county_name,ukr_birthplace,total_ukr,ukr_birthplace_share
201,Powiat bolesławiecki,1151,176174,0.006533313655817544
202,Powiat dzierżoniowski,1123,176174,0.006374379874442312
203,Powiat głogowski,789,176174,0.004478526910894911
204,Powiat górowski,435,176174,0.0024691498177937723
205,Powiat jaworski,590,176174,0.003348961821835231
206,Powiat karkonoski,481,176174,0.0027302553157673663
207,Powiat kamiennogórski,316,176174,0.001793681246949039
208,Powiat kłodzki,2225,176174,0.012629559412853202
209,Powiat legnicki,872,176174,0.004949652048542918
210,Powiat lubański,827,176174,0.004694222757047011
211,Powiat lubiński,1345,176174,0.00763449771248879
212,Powiat lwówecki,715,176174,0.004058487631546085
213,Powiat milicki,443,176174,0.002514559469615267
214,Powiat oleśnicki,1071,176174,0.006079217137602597
215,Powiat oławski,1792,176174,0.010171762008014803
216,Powiat polkowicki,678,176174,0.0038484679918716724
217,Powiat strzeliński,863,176174,0.004898566190243737
218,Powiat średzki,868,176174,0.004926947222632171
219,Powiat świdnicki,1801,176174,0.010222847866313984
220,Powiat trzebnicki,1008,176174,0.005721616129508327
221,Powiat wałbrzyski,551,176174,0.0031275897692054446
222,Powiat wołowski,739,176174,0.004194716587010569
223,Powiat wrocławski,2067,176174,0.011732718789378682
224,Powiat ząbkowicki,1014,176174,0.005755673368374448
225,Powiat zgorzelecki,1014,176174,0.005755673368374448
226,Powiat złotoryjski,462,176174,0.0026224073926913167
261,Powiat m. Jelenia Góra,1209,176174,0.00686253363152338
262,Powiat m. Legnica,1906,176174,0.010818849546471103
264,Powiat m. Wrocław,13405,176174,0.07608954783339199
265,Powiat m. Wałbrzych,1287,176174,0.007305277736782953
401,Powiat aleksandrowski,152,176174,0.0008627833846083985
402,Powiat brodnicki,99,176174,0.0005619444412909964
403,Powiat bydgoski,235,176174,0.0013339085222564056
404,Powiat chełmiński,65,176174,0.0003689534210496441
405,Powiat golubsko-dobrzyński,41,176174,0.00023272446558516012
406,Powiat grudziądzki,37,176174,0.0002100196396744128
