county_code,county_name,ukr_citizens,total_ukr,ukr_citizens_share
201,Powiat bolesławiecki,188,53048,0.0035439601870004525
202,Powiat dzierżoniowski,64,53048,0.0012064545317448348
203,Powiat głogowski,98,53048,0.0018473835017342784
204,Powiat górowski,15,53048,0.00028276278087769566
205,Powiat jaworski,53,53048,0.0009990951591011914
206,Powiat karkonoski,66,53048,0.001244156235861861
207,Powiat kamiennogórski,20,53048,0.0003770170411702609
208,Powiat kłodzki,109,53048,0.002054742874377922
209,Powiat legnicki,58,53048,0.0010933494193937567
210,Powiat lubański,125,53048,0.002356356507314131
211,Powiat lubiński,85,53048,0.0016023224249736088
212,Powiat lwówecki,33,53048,0.0006220781179309305
213,Powiat milicki,22,53048,0.00041471874528728697
214,Powiat oleśnicki,197,53048,0.00371361785552707
215,Powiat oławski,304,53048,0.0057306590257879654
216,Powiat polkowicki,53,53048,0.0009990951591011914
217,Powiat strzeliński,38,53048,0.0007163323782234957
218,Powiat średzki,92,53048,0.0017342783893832
219,Powiat świdnicki,264,53048,0.004976624943447444
220,Powiat trzebnicki,140,53048,0.0026391192881918264
221,Powiat wałbrzyski,23,53048,0.0004335695973458
222,Powiat wołowski,48,53048,0.0009048408988086261
223,Powiat wrocławski,516,53048,0.009727039662192731
224,Powiat ząbkowicki,45,53048,0.000848288342633087
225,Powiat zgorzelecki,90,53048,0.001696576685266174
226,Powiat złotoryjski,25,53048,0.0004712713014628261
261,Powiat m. Jelenia Góra,160,53048,0.003016136329362087
262,Powiat m. Legnica,442,53048,0.008332076609862765
264,Powiat m. Wrocław,4930,53048,0.09293470064846931
265,Powiat m. Wałbrzych,123,53048,0.0023186548031971046
401,Powiat aleksandrowski,20,53048,0.0003770170411702609
402,Powiat brodnicki,43,53048,0.000810586638516061
403,Powiat bydgoski,97,53048,0.0018285326496757653
404,Powiat chełmiński,20,53048,0.0003770170411702609
405,Powiat golubsko-dobrzyński,12,53048,0.00022621022470215653
406,Powiat grudziądzki,1,53048,1.8850852058513044e-05
407,Powiat inowrocławski,55,53048,0.0010367968632182174
408,Powiat lipnowski,14,53048,0.0002639119288191826
409,Powiat mogileński,22,53048,0.00041471874528728697
410,Powiat nakielski,101,53048,0.0019039360579098175
411,Powiat radziejowski,20,53048,0.0003770170411702609
412,Powiat rypiński,4,53048,7.540340823405218e-05
413,Powiat sępoleński,27,53048,0.0005089730055798522
414,Powiat świecki,42,53048,0.0007917357864575479
415,Powiat toruński,57,53048,0.0010744985673352436
416,Powiat tucholski,27,53048,0.0005089730055798522
417,Powiat wąbrzeski,3,53048,5.655255617553913e-05
418,Powiat włocławski,24,53048,0.00045242044940431306
419,Powiat żniński,27,53048,0.0005089730055798522
461,Powiat m. Bydgoszcz,757,53048,0.014270095008294376
462,Powiat m. Grudziądz,37,53048,0.0006974815261649827
463,Powiat m. Toruń,244,53048,0.004599607902277183
464,Powiat m. Włocławek,46,53048,0.0008671391946916
601,Powiat bialski,39,53048,0.0007351832302820088
602,Powiat biłgorajski,91,53048,0.001715427537324687
603,Powiat chełmski,64,53048,0.0012064545317448348
604,Powiat hrubieszowski,93,53048,0.0017531292414417132
605,Powiat janowski,19,53048,0.00035816618911174784
606,Powiat krasnostawski,32,53048,0.0006032272658724174
607,Powiat kraśnicki,60,53048,0.0011310511235107827
608,Powiat lubartowski,39,53048,0.0007351832302820088
609,Powiat lubelski,145,53048,0.0027333735484843915
610,Powiat łęczyński,59,53048,0.0011122002714522696
611,Powiat łukowski,31,53048,0.0005843764138139044
612,Powiat opolski,91,53048,0.001715427537324687
613,Powiat parczewski,14,53048,0.0002639119288191826
614,Powiat puławski,90,53048,0.001696576685266174
615,Powiat radzyński,24,53048,0.00045242044940431306
616,Powiat rycki,31,53048,0.0005843764138139044
617,Powiat świdnicki,86,53048,0.001621173277032122
618,Powiat tomaszowski,120,53048,0.0022621022470215653
619,Powiat włodawski,50,53048,0.0009425426029256522
620,Powiat zamojski,57,53048,0.0010744985673352436
661,Powiat m. Biała Podlaska,62,53048,0.0011687528276278088
662,Powiat m. Chełm,102,53048,0.0019227869099683306
663,Powiat m. Lublin,1222,53048,0.02303574121550294
664,Powiat m. Zamość,67,53048,0.001263007087920374
801,Powiat gorzowski,132,53048,0.002488312471723722
802,Powiat krośnieński,59,53048,0.0011122002714522696
803,Powiat międzyrzecki,75,53048,0.0014138139043884783
804,Powiat nowosolski,64,53048,0.0012064545317448348
805,Powiat słubicki,162,53048,0.0030538380334791133
806,Powiat strzelecko-drezdenecki,28,53048,0.0005278238576383652
807,Powiat sulęciński,46,53048,0.0008671391946916
808,Powiat świebodziński,181,53048,0.0034120042225908613
809,Powiat zielonogórski,120,53048,0.0022621022470215653
810,Powiat żagański,39,53048,0.0007351832302820088
811,Powiat żarski,200,53048,0.003770170411702609
812,Powiat wschowski,26,53048,0.0004901221535213391
861,Powiat m. Gorzów Wielkopolski,349,53048,0.006578947368421052
862,Powiat m. Zielona Góra,443,53048,0.008350927461921278
1001,Powiat bełchatowski,44,53048,0.0008294374905745739
1002,Powiat kutnowski,90,53048,0.001696576685266174
1003,Powiat łaski,27,53048,0.0005089730055798522
1004,Powiat łęczycki,19,53048,0.00035816618911174784
1005,Powiat łowicki,59,53048,0.0011122002714522696
1006,Powiat łódzki wschodni,46,53048,0.0008671391946916
1007,Powiat opoczyński,19,53048,0.00035816618911174784
1008,Powiat pabianicki,78,53048,0.0014703664605640176
1009,Powiat pajęczański,13,53048,0.0002450610767606696
1010,Powiat piotrkowski,38,53048,0.0007163323782234957
1011,Powiat poddębicki,18,53048,0.0003393153370532348
1012,Powiat radomszczański,56,53048,0.0010556477152767305
1013,Powiat rawski,53,53048,0.0009990951591011914
1014,Powiat sieradzki,46,53048,0.0008671391946916
1015,Powiat skierniewicki,18,53048,0.0003393153370532348
1016,Powiat tomaszowski,71,53048,0.001338410496154426
1017,Powiat wieluński,41,53048,0.0007728849343990349
1018,Powiat wieruszowski,118,53048,0.002224400542904539
1019,Powiat zduńskowolski,10,53048,0.00018850852058513044
1020,Powiat zgierski,192,53048,0.0036193635952345045
1021,Powiat brzeziński,60,53048,0.0011310511235107827
1061,Powiat m. Łódź,1282,53048,0.024166792339013723
1062,Powiat m. Piotrków Trybunalski,86,53048,0.001621173277032122
1063,Powiat m. Skierniewice,29,53048,0.0005466747096968783
1201,Powiat bocheński,22,53048,0.00041471874528728697
1202,Powiat brzeski,15,53048,0.00028276278087769566
1203,Powiat chrzanowski,115,53048,0.0021678479867290002
1204,Powiat dąbrowski,11,53048,0.00020735937264364349
1205,Powiat gorlicki,36,53048,0.0006786306741064696
1206,Powiat krakowski,222,53048,0.004184889156989896
1207,Powiat limanowski,21,53048,0.00039586789322877393
1208,Powiat miechowski,35,53048,0.0006597798220479566
1209,Powiat myślenicki,47,53048,0.0008859900467501131
1210,Powiat nowosądecki,48,53048,0.0009048408988086261
1211,Powiat nowotarski,80,53048,0.0015080681646810435
1212,Powiat olkuski,24,53048,0.00045242044940431306
1213,Powiat oświęcimski,77,53048,0.0014515156085055045
1214,Powiat proszowicki,23,53048,0.0004335695973458
1215,Powiat suski,38,53048,0.0007163323782234957
1216,Powiat tarnowski,38,53048,0.0007163323782234957
1217,Powiat tatrzański,47,53048,0.0008859900467501131
1218,Powiat wadowicki,51,53048,0.0009613934549841653
1219,Powiat wielicki,117,53048,0.0022055496908460264
1261,Powiat m. Kraków,2569,53048,0.04842783893832001
1262,Powiat m. Nowy Sącz,55,53048,0.0010367968632182174
1263,Powiat m. Tarnów,41,53048,0.0007728849343990349
1401,Powiat białobrzeski,61,53048,0.0011499019755692958
1402,Powiat ciechanowski,34,53048,0.0006409289699894435
1403,Powiat garwoliński,51,53048,0.0009613934549841653
1404,Powiat gostyniński,16,53048,0.0003016136329362087
1405,Powiat grodziski,282,53048,0.005315940280500679
1406,Powiat grójecki,249,53048,0.0046938621625697485
1407,Powiat kozienicki,65,53048,0.001225305383803348
1408,Powiat legionowski,205,53048,0.0038644246719951743
1409,Powiat lipski,20,53048,0.0003770170411702609
1410,Powiat łosicki,26,53048,0.0004901221535213391
1411,Powiat makowski,14,53048,0.0002639119288191826
1412,Powiat miński,207,53048,0.0039021263761122
1413,Powiat mławski,103,53048,0.0019416377620268437
1414,Powiat nowodworski,115,53048,0.0021678479867290002
1415,Powiat ostrołęcki,22,53048,0.00041471874528728697
1416,Powiat ostrowski,31,53048,0.0005843764138139044
1417,Powiat otwocki,267,53048,0.0050331774996229825
1418,Powiat piaseczyński,684,53048,0.012893982808022923
1419,Powiat płocki,30,53048,0.0005655255617553913
1420,Powiat płoński,138,53048,0.0026014175840748
1421,Powiat pruszkowski,746,53048,0.014062735635650732
1422,Powiat przasnyski,6,53048,0.00011310511235107827
1423,Powiat przysuski,14,53048,0.0002639119288191826
1424,Powiat pułtuski,44,53048,0.0008294374905745739
