date,teryt,powiat,voivodeship,total_all,total_male,total_female,male_0-14,male_15-24,male_25-34,male_35-44,male_45-54,male_55+,female_0-14,female_15-24,female_25-34,female_35-44,female_45-54,female_55+
2022-04-14,201.0,BOLESŁAWIECKI,DOLNOŚLĄSKIE,2900.0,792.0,2108.0,536.0,164.0,14.0,33.0,6.0,39.0,562.0,316.0,340.0,461.0,211.0,218.0
2022-04-14,202.0,DZIERŻONIOWSKI,DOLNOŚLĄSKIE,2533.0,708.0,1825.0,482.0,130.0,19.0,26.0,6.0,45.0,486.0,248.0,328.0,379.0,163.0,221.0
2022-04-14,203.0,GŁOGOWSKI,DOLNOŚLĄSKIE,1557.0,454.0,1103.0,318.66666666666663,77.66666666666667,15.0,12.0,4.0,26.666666666666664,289.0,159.0,211.0,244.0,87.0,113.0
2022-04-14,204.0,GÓROWSKI,DOLNOŚLĄSKIE,576.0,160.0,416.0,103.42857142857143,31.428571428571427,4.428571428571429,5.428571428571429,0.8571428571428571,14.428571428571429,114.0,55.0,59.0,99.0,33.0,56.0
2022-04-14,205.0,JAWORSKI,DOLNOŚLĄSKIE,1417.0,410.0,1007.0,283.0,82.0,6.0,20.0,3.0,16.0,276.0,120.0,171.0,229.0,91.0,120.0
2022-04-14,206.0,KARKONOSKI,DOLNOŚLĄSKIE,3359.0,952.0,2407.0,662.0,161.0,18.0,47.0,13.0,51.0,693.0,330.0,446.0,482.0,186.0,270.0
2022-04-14,207.0,KAMIENNOGÓRSKI,DOLNOŚLĄSKIE,963.0,259.0,704.0,182.33333333333334,48.333333333333336,6.333333333333333,9.0,0.6666666666666666,12.333333333333334,191.0,98.0,129.0,150.0,68.0,68.0
2022-04-14,208.0,KŁODZKI,DOLNOŚLĄSKIE,4364.0,1304.0,3060.0,925.0,216.0,34.0,47.0,17.0,65.0,838.0,405.0,562.0,665.0,256.0,334.0
2022-04-14,209.0,LEGNICKI,DOLNOŚLĄSKIE,2992.0,867.0,2125.0,611.0,141.0,15.0,39.0,10.0,51.0,566.0,274.0,416.0,428.0,176.0,265.0
2022-04-14,210.0,LUBAŃSKI,DOLNOŚLĄSKIE,1243.0,348.0,895.0,235.75,67.5,6.0,9.0,6.0,23.75,227.0,113.0,166.0,204.0,84.0,101.0
2022-04-14,211.0,LUBIŃSKI,DOLNOŚLĄSKIE,2392.0,665.0,1727.0,468.0,101.0,20.0,29.0,10.0,37.0,475.0,212.0,344.0,357.0,147.0,192.0
2022-04-14,212.0,LWÓWECKI,DOLNOŚLĄSKIE,1037.0,298.0,739.0,209.75,43.75,8.0,11.0,3.75,21.75,190.0,108.0,130.0,163.0,65.0,83.0
2022-04-14,213.0,MILICKI,DOLNOŚLĄSKIE,1017.0,281.0,736.0,202.0,45.33333333333333,1.3333333333333333,9.0,3.6666666666666665,19.666666666666664,200.0,100.0,147.0,144.0,73.0,72.0
2022-04-14,214.0,OLEŚNICKI,DOLNOŚLĄSKIE,3692.0,1107.0,2585.0,747.0,202.0,28.0,35.0,22.0,73.0,685.0,365.0,465.0,533.0,236.0,301.0
