,code,powiat,year,sex,age,count
0,201000,Powiat bolesławiecki,2021,total,total,38792
1,202000,Powiat dzierżoniowski,2021,total,total,39657
2,203000,Powiat głogowski,2021,total,total,36209
3,204000,Powiat górowski,2021,total,total,13765
4,205000,Powiat jaworski,2021,total,total,20715
5,206000,Powiat karkonoski,2021,total,total,25660
6,207000,Powiat kamiennogórski,2021,total,total,17296
7,208000,Powiat kłodzki,2021,total,total,60022
8,209000,Powiat legnicki,2021,total,total,24235
9,210000,Powiat lubański,2021,total,total,21746
10,211000,Powiat lubiński,2021,total,total,44027
11,212000,Powiat lwówecki,2021,total,total,17575
12,213000,Powiat milicki,2021,total,total,16174
13,214000,Powiat oleśnicki,2021,total,total,50426
14,215000,Powiat oławski,2021,total,total,36495
15,216000,Powiat polkowicki,2021,total,total,26442
16,217000,Powiat strzeliński,2021,total,total,18984
17,218000,Powiat średzki,2021,total,total,28010
18,219000,Powiat świdnicki,2021,total,total,66834
19,220000,Powiat trzebnicki,2021,total,total,41088
20,221000,Powiat wałbrzyski,2021,total,total,21512
21,223000,Powiat wrocławski,2021,total,total,90479
22,224000,Powiat ząbkowicki,2021,total,total,25917
23,225000,Powiat zgorzelecki,2021,total,total,36330
24,226000,Powiat złotoryjski,2021,total,total,17456
25,261000,City with powiat status Jelenia Góra,2021,total,total,32309
26,262000,City with powiat status Legnica,2021,total,total,40849
27,264000,City with powiat status Wrocław,2021,total,total,345939
28,265000,City with powiat status Wałbrzych since 2013,2021,total,total,40714
29,401000,Powiat aleksandrowski,2021,total,total,22682
30,402000,Powiat brodnicki,2021,total,total,34865
31,403000,Powiat bydgoski,2021,total,total,57876
32,404000,Powiat chełmiński,2021,total,total,21150
33,405000,Powiat golubsko-dobrzyński,2021,total,total,19011
34,406000,Powiat grudziądzki,2021,total,total,17021
35,407000,Powiat inowrocławski,2021,total,total,65826
36,408000,Powiat lipnowski,2021,total,total,26100
37,409000,Powiat mogileński,2021,total,total,19474
38,410000,Powiat nakielski,2021,total,total,36422
39,411000,Powiat radziejowski,2021,total,total,16891
40,412000,Powiat rypiński,2021,total,total,18010
41,413000,Powiat sępoleński,2021,total,total,16990
42,414000,Powiat świecki,2021,total,total,41258
43,415000,Powiat toruński,2021,total,total,50211
44,416000,Powiat tucholski,2021,total,total,20437
45,417000,Powiat wąbrzeski,2021,total,total,13967
46,418000,Powiat włocławski,2021,total,total,36307
47,419000,Powiat żniński,2021,total,total,29591
48,461000,City with powiat status Bydgoszcz,2021,total,total,149713
49,462000,City with powiat status Grudziądz,2021,total,total,36261
50,463000,City with powiat status Toruń,2021,total,total,88317
51,464000,City with powiat status Włocławek,2021,total,total,42377
52,601000,Powiat bialski,2021,total,total,45518
53,602000,Powiat biłgorajski,2021,total,total,42571
54,603000,Powiat chełmski,2021,total,total,30052
55,604000,Powiat hrubieszowski,2021,total,total,23429
56,605000,Powiat janowski,2021,total,total,18673
57,606000,Powiat krasnostawski,2021,total,total,24432
58,607000,Powiat kraśnicki,2021,total,total,37756
59,608000,Powiat lubartowski,2021,total,total,37357
60,609000,Powiat lubelski,2021,total,total,75684
61,610000,Powiat łęczyński,2021,total,total,24652
62,611000,Powiat łukowski,2021,total,total,45834
63,612000,Powiat opolski,2021,total,total,24511
64,613000,Powiat parczewski,2021,total,total,13766
65,614000,Powiat puławski,2021,total,total,47043
66,615000,Powiat radzyński,2021,total,total,24846
67,616000,Powiat rycki,2021,total,total,23204
68,617000,Powiat świdnicki,2021,total,total,30367
69,618000,Powiat tomaszowski,2021,total,total,33316
70,619000,Powiat włodawski,2021,total,total,14098
71,620000,Powiat zamojski,2021,total,total,43793
72,661000,City with powiat status Biała Podlaska,2021,total,total,23800
73,662000,City with powiat status Chełm,2021,total,total,23318
74,663000,City with powiat status Lublin,2021,total,total,150753
75,664000,City with powiat status Zamość,2021,total,total,24273
76,801000,Powiat gorzowski,2021,total,total,33327
77,802000,Powiat krośnieński,2021,total,total,22638
78,803000,Powiat międzyrzecki,2021,total,total,24346
79,804000,Powiat nowosolski,2021,total,total,34533
80,805000,Powiat słubicki,2021,total,total,20595
81,806000,Powiat strzelecko-drezdenecki,2021,total,total,20463
82,807000,Powiat sulęciński,2021,total,total,14890
83,808000,Powiat świebodziński,2021,total,total,24261
84,809000,Powiat zielonogórski,2021,total,total,33651
85,810000,Powiat żagański,2021,total,total,30799
86,811000,Powiat żarski,2021,total,total,38559
87,812000,Powiat wschowski,2021,total,total,16170
88,861000,City with powiat status Gorzów Wielkopolski,2021,total,total,52126
89,862000,City with powiat status Zielona Góra,2021,total,total,64787
90,1001000,Powiat bełchatowski,2021,total,total,50266
91,1002000,Powiat kutnowski,2021,total,total,41491
92,1003000,Powiat łaski,2021,total,total,22985
93,1004000,Powiat łęczycki,2021,total,total,22348
94,1005000,Powiat łowicki,2021,total,total,35768
95,1006000,Powiat łódzki wschodni,2021,total,total,35304
96,1007000,Powiat opoczyński,2021,total,total,32594
97,1008000,Powiat pabianicki,2021,total,total,54916
98,1009000,Powiat pajęczański,2021,total,total,22730
99,1010000,Powiat piotrkowski,2021,total,total,41558
100,1011000,Powiat poddębicki,2021,total,total,18750
101,1012000,Powiat radomszczański,2021,total,total,47680
102,1013000,Powiat rawski,2021,total,total,22836
103,1014000,Powiat sieradzki,2021,total,total,53892
104,1015000,Powiat skierniewicki,2021,total,total,18283
105,1016000,Powiat tomaszowski,2021,total,total,49328
106,1017000,Powiat wieluński,2021,total,total,34353
107,1018000,Powiat wieruszowski,2021,total,total,20859
108,1019000,Powiat zduńskowolski,2021,total,total,28675
109,1020000,Powiat zgierski,2021,total,total,78076
110,1021000,Powiat brzeziński,2021,total,total,14333
111,1061000,City with powiat status Łódź,2021,total,total,308712
112,1062000,City with powiat status Piotrków Trybunalski,2021,total,total,29629
113,1063000,City with powiat status Skierniewice,2021,total,total,21479
114,1201000,Powiat bocheński,2021,total,total,50188
115,1202000,Powiat brzeski,2021,total,total,42636
116,1203000,Powiat chrzanowski,2021,total,total,51197
117,1204000,Powiat dąbrowski,2021,total,total,24395
118,1205000,Powiat gorlicki,2021,total,total,45629
119,1206000,Powiat krakowski,2021,total,total,145209
120,1207000,Powiat limanowski,2021,total,total,60226
121,1208000,Powiat miechowski,2021,total,total,21805
122,1209000,Powiat myślenicki,2021,total,total,62964
123,1210000,Powiat nowosądecki,2021,total,total,95932
124,1211000,Powiat nowotarski,2021,total,total,82713
125,1212000,Powiat olkuski,2021,total,total,48147
126,1213000,Powiat oświęcimski,2021,total,total,66163
127,1214000,Powiat proszowicki,2021,total,total,20557
128,1215000,Powiat suski,2021,total,total,38218
129,1216000,Powiat tarnowski,2021,total,total,89141
130,1217000,Powiat tatrzański,2021,total,total,28750
131,1218000,Powiat wadowicki,2021,total,total,73013
132,1219000,Powiat wielicki,2021,total,total,68536
133,1261000,City with powiat status Kraków,2021,total,total,407738
134,1262000,City with powiat status Nowy Sącz,2021,total,total,34599
135,1263000,City with powiat status Tarnów,2021,total,total,43474
136,1401000,Powiat białobrzeski,2021,total,total,15870
137,1402000,Powiat ciechanowski,2021,total,total,39878
138,1403000,Powiat garwoliński,2021,total,total,50491
139,1404000,Powiat gostyniński,2021,total,total,18592
140,1405000,Powiat grodziski,2021,total,total,49804
141,1406000,Powiat grójecki,2021,total,total,49208
142,1407000,Powiat kozienicki,2021,total,total,25539
143,1408000,Powiat legionowski,2021,total,total,62390
144,1409000,Powiat lipski,2021,total,total,13891
145,1410000,Powiat łosicki,2021,total,total,13388
146,1411000,Powiat makowski,2021,total,total,18562
147,1412000,Powiat miński,2021,total,total,76687
148,1413000,Powiat mławski,2021,total,total,31962
149,1414000,Powiat nowodworski,2021,total,total,39036
150,1415000,Powiat ostrołęcki,2021,total,total,39391
151,1416000,Powiat ostrowski,2021,total,total,31585
152,1417000,Powiat otwocki,2021,total,total,60681
153,1418000,Powiat piaseczyński,2021,total,total,104807
154,1419000,Powiat płocki,2021,total,total,50351
155,1420000,Powiat płoński,2021,total,total,39565
156,1421000,Powiat pruszkowski,2021,total,total,88119
157,1422000,Powiat przasnyski,2021,total,total,22046
158,1423000,Powiat przysuski,2021,total,total,16897
159,1424000,Powiat pułtuski,2021,total,total,23209
160,1425000,Powiat radomski,2021,total,total,64590
161,1426000,Powiat siedlecki,2021,total,total,37993
162,1427000,Powiat sierpecki,2021,total,total,21312
163,1428000,Powiat sochaczewski,2021,total,total,40650
164,1429000,Powiat sokołowski,2021,total,total,23923
165,1430000,Powiat szydłowiecki,2021,total,total,14925
166,1432000,Powiat warszawski zachodni,2021,total,total,65508
167,1433000,Powiat węgrowski,2021,total,total,29176
