,code,voivodeship,year,age,rate
0,200000,DOLNOŚLĄSKIE,2010,total,53.9
1,400000,KUJAWSKO-POMORSKIE,2010,total,53.8
2,600000,LUBELSKIE,2010,total,52.9
3,800000,LUBUSKIE,2010,total,55.2
4,1000000,ŁÓDZKIE,2010,total,54.6
5,1200000,MAŁOPOLSKIE,2010,total,49.8
6,1400000,MAZOWIECKIE,2010,total,57.4
7,1600000,OPOLSKIE,2010,total,52.5
8,1800000,PODKARPACKIE,2010,total,48.0
9,2000000,PODLASKIE,2010,total,52.6
10,2200000,POMORSKIE,2010,total,54.9
11,2400000,ŚLĄSKIE,2010,total,52.2
12,2600000,ŚWIĘTOKRZYSKIE,2010,total,53.2
13,2800000,WARMIŃSKO-MAZURSKIE,2010,total,52.7
14,3000000,WIELKOPOLSKIE,2010,total,57.0
15,3200000,ZACHODNIOPOMORSKIE,2010,total,52.1
16,200000,DOLNOŚLĄSKIE,2011,total,53.3
17,400000,KUJAWSKO-POMORSKIE,2011,total,53.7
18,600000,LUBELSKIE,2011,total,53.8
19,800000,LUBUSKIE,2011,total,54.5
20,1000000,ŁÓDZKIE,2011,total,55.4
21,1200000,MAŁOPOLSKIE,2011,total,50.5
22,1400000,MAZOWIECKIE,2011,total,58.7
23,1600000,OPOLSKIE,2011,total,53.0
24,1800000,PODKARPACKIE,2011,total,47.8
25,2000000,PODLASKIE,2011,total,53.5
26,2200000,POMORSKIE,2011,total,53.9
27,2400000,ŚLĄSKIE,2011,total,53.2
28,2600000,ŚWIĘTOKRZYSKIE,2011,total,53.6
29,2800000,WARMIŃSKO-MAZURSKIE,2011,total,51.3
30,3000000,WIELKOPOLSKIE,2011,total,56.7
31,3200000,ZACHODNIOPOMORSKIE,2011,total,51.2
32,200000,DOLNOŚLĄSKIE,2012,total,53.8
33,400000,KUJAWSKO-POMORSKIE,2012,total,55.7
34,600000,LUBELSKIE,2012,total,54.1
35,800000,LUBUSKIE,2012,total,53.3
36,1000000,ŁÓDZKIE,2012,total,55.2
37,1200000,MAŁOPOLSKIE,2012,total,51.3
38,1400000,MAZOWIECKIE,2012,total,59.7
39,1600000,OPOLSKIE,2012,total,54.0
40,1800000,PODKARPACKIE,2012,total,48.7
41,2000000,PODLASKIE,2012,total,54.1
42,2200000,POMORSKIE,2012,total,55.2
43,2400000,ŚLĄSKIE,2012,total,53.5
