,code,voivodeship,year,sex,age,rate
0,200000,DOLNOŚLĄSKIE,2010,total,total,
1,400000,KUJAWSKO-POMORSKIE,2010,total,total,
2,600000,LUBELSKIE,2010,total,total,
3,800000,LUBUSKIE,2010,total,total,
4,1000000,ŁÓDZKIE,2010,total,total,
5,1200000,MAŁOPOLSKIE,2010,total,total,
6,1400000,MAZOWIECKIE,2010,total,total,
7,1600000,OPOLSKIE,2010,total,total,
8,1800000,PODKARPACKIE,2010,total,total,
9,2000000,PODLASKIE,2010,total,total,
10,2200000,POMORSKIE,2010,total,total,
11,2400000,ŚLĄSKIE,2010,total,total,
12,2600000,ŚWIĘTOKRZYSKIE,2010,total,total,
13,2800000,WARMIŃSKO-MAZURSKIE,2010,total,total,
14,3000000,WIELKOPOLSKIE,2010,total,total,
15,3200000,ZACHODNIOPOMORSKIE,2010,total,total,
16,200000,DOLNOŚLĄSKIE,2011,total,total,
17,400000,KUJAWSKO-POMORSKIE,2011,total,total,
18,600000,LUBELSKIE,2011,total,total,
19,800000,LUBUSKIE,2011,total,total,
20,1000000,ŁÓDZKIE,2011,total,total,
21,1200000,MAŁOPOLSKIE,2011,total,total,
22,1400000,MAZOWIECKIE,2011,total,total,
23,1600000,OPOLSKIE,2011,total,total,
24,1800000,PODKARPACKIE,2011,total,total,
25,2000000,PODLASKIE,2011,total,total,
26,2200000,POMORSKIE,2011,total,total,
27,2400000,ŚLĄSKIE,2011,total,total,
28,2600000,ŚWIĘTOKRZYSKIE,2011,total,total,
29,2800000,WARMIŃSKO-MAZURSKIE,2011,total,total,
30,3000000,WIELKOPOLSKIE,2011,total,total,
31,3200000,ZACHODNIOPOMORSKIE,2011,total,total,
32,200000,DOLNOŚLĄSKIE,2012,total,total,
33,400000,KUJAWSKO-POMORSKIE,2012,total,total,
34,600000,LUBELSKIE,2012,total,total,
35,800000,LUBUSKIE,2012,total,total,
36,1000000,ŁÓDZKIE,2012,total,total,
37,1200000,MAŁOPOLSKIE,2012,total,total,
38,1400000,MAZOWIECKIE,2012,total,total,
39,1600000,OPOLSKIE,2012,total,total,
40,1800000,PODKARPACKIE,2012,total,total,
41,2000000,PODLASKIE,2012,total,total,
42,2200000,POMORSKIE,2012,total,total,
43,2400000,ŚLĄSKIE,2012,total,total,
44,2600000,ŚWIĘTOKRZYSKIE,2012,total,total,
45,2800000,WARMIŃSKO-MAZURSKIE,2012,total,total,
46,3000000,WIELKOPOLSKIE,2012,total,total,
47,3200000,ZACHODNIOPOMORSKIE,2012,total,total,
48,200000,DOLNOŚLĄSKIE,2013,total,total,
49,400000,KUJAWSKO-POMORSKIE,2013,total,total,
50,600000,LUBELSKIE,2013,total,total,
51,800000,LUBUSKIE,2013,total,total,
52,1000000,ŁÓDZKIE,2013,total,total,
53,1200000,MAŁOPOLSKIE,2013,total,total,
54,1400000,MAZOWIECKIE,2013,total,total,
55,1600000,OPOLSKIE,2013,total,total,
56,1800000,PODKARPACKIE,2013,total,total,
57,2000000,PODLASKIE,2013,total,total,
58,2200000,POMORSKIE,2013,total,total,
59,2400000,ŚLĄSKIE,2013,total,total,
60,2600000,ŚWIĘTOKRZYSKIE,2013,total,total,
