,code,voivodeship,year,age,rate
0,200000,DOLNOŚLĄSKIE,2010,total,
1,400000,KUJAWSKO-POMORSKIE,2010,total,
2,600000,LUBELSKIE,2010,total,
3,800000,LUBUSKIE,2010,total,
4,1000000,ŁÓDZKIE,2010,total,
5,1200000,MAŁOPOLSKIE,2010,total,
6,1400000,MAZOWIECKIE,2010,total,
7,1600000,OPOLSKIE,2010,total,
8,1800000,PODKARPACKIE,2010,total,
9,2000000,PODLASKIE,2010,total,
10,2200000,POMORSKIE,2010,total,
11,2400000,ŚLĄSKIE,2010,total,
12,2600000,ŚWIĘTOKRZYSKIE,2010,total,
13,2800000,WARMIŃSKO-MAZURSKIE,2010,total,
14,3000000,WIELKOPOLSKIE,2010,total,
15,3200000,ZACHODNIOPOMORSKIE,2010,total,
16,200000,DOLNOŚLĄSKIE,2011,total,
17,400000,KUJAWSKO-POMORSKIE,2011,total,
18,600000,LUBELSKIE,2011,total,
19,800000,LUBUSKIE,2011,total,
20,1000000,ŁÓDZKIE,2011,total,
21,1200000,MAŁOPOLSKIE,2011,total,
22,1400000,MAZOWIECKIE,2011,total,
23,1600000,OPOLSKIE,2011,total,
24,1800000,PODKARPACKIE,2011,total,
25,2000000,PODLASKIE,2011,total,
26,2200000,POMORSKIE,2011,total,
27,2400000,ŚLĄSKIE,2011,total,
28,2600000,ŚWIĘTOKRZYSKIE,2011,total,
29,2800000,WARMIŃSKO-MAZURSKIE,2011,total,
30,3000000,WIELKOPOLSKIE,2011,total,
31,3200000,ZACHODNIOPOMORSKIE,2011,total,
32,200000,DOLNOŚLĄSKIE,2012,total,
33,400000,KUJAWSKO-POMORSKIE,2012,total,
34,600000,LUBELSKIE,2012,total,
35,800000,LUBUSKIE,2012,total,
36,1000000,ŁÓDZKIE,2012,total,
37,1200000,MAŁOPOLSKIE,2012,total,
38,1400000,MAZOWIECKIE,2012,total,
39,1600000,OPOLSKIE,2012,total,
40,1800000,PODKARPACKIE,2012,total,
41,2000000,PODLASKIE,2012,total,
42,2200000,POMORSKIE,2012,total,
43,2400000,ŚLĄSKIE,2012,total,
44,2600000,ŚWIĘTOKRZYSKIE,2012,total,
45,2800000,WARMIŃSKO-MAZURSKIE,2012,total,
46,3000000,WIELKOPOLSKIE,2012,total,
47,3200000,ZACHODNIOPOMORSKIE,2012,total,
48,200000,DOLNOŚLĄSKIE,2013,total,
49,400000,KUJAWSKO-POMORSKIE,2013,total,
50,600000,LUBELSKIE,2013,total,
51,800000,LUBUSKIE,2013,total,
52,1000000,ŁÓDZKIE,2013,total,
53,1200000,MAŁOPOLSKIE,2013,total,
54,1400000,MAZOWIECKIE,2013,total,
55,1600000,OPOLSKIE,2013,total,
56,1800000,PODKARPACKIE,2013,total,
57,2000000,PODLASKIE,2013,total,
58,2200000,POMORSKIE,2013,total,
59,2400000,ŚLĄSKIE,2013,total,
60,2600000,ŚWIĘTOKRZYSKIE,2013,total,
61,2800000,WARMIŃSKO-MAZURSKIE,2013,total,
62,3000000,WIELKOPOLSKIE,2013,total,
63,3200000,ZACHODNIOPOMORSKIE,2013,total,
64,200000,DOLNOŚLĄSKIE,2014,total,
65,400000,KUJAWSKO-POMORSKIE,2014,total,
66,600000,LUBELSKIE,2014,total,
67,800000,LUBUSKIE,2014,total,
68,1000000,ŁÓDZKIE,2014,total,
69,1200000,MAŁOPOLSKIE,2014,total,
70,1400000,MAZOWIECKIE,2014,total,
71,1600000,OPOLSKIE,2014,total,
72,1800000,PODKARPACKIE,2014,total,
73,2000000,PODLASKIE,2014,total,
74,2200000,POMORSKIE,2014,total,
75,2400000,ŚLĄSKIE,2014,total,
76,2600000,ŚWIĘTOKRZYSKIE,2014,total,
77,2800000,WARMIŃSKO-MAZURSKIE,2014,total,
78,3000000,WIELKOPOLSKIE,2014,total,
79,3200000,ZACHODNIOPOMORSKIE,2014,total,
80,200000,DOLNOŚLĄSKIE,2015,total,
81,400000,KUJAWSKO-POMORSKIE,2015,total,
82,600000,LUBELSKIE,2015,total,
83,800000,LUBUSKIE,2015,total,
84,1000000,ŁÓDZKIE,2015,total,
85,1200000,MAŁOPOLSKIE,2015,total,
86,1400000,MAZOWIECKIE,2015,total,
87,1600000,OPOLSKIE,2015,total,
88,1800000,PODKARPACKIE,2015,total,
89,2000000,PODLASKIE,2015,total,
90,2200000,POMORSKIE,2015,total,
91,2400000,ŚLĄSKIE,2015,total,
92,2600000,ŚWIĘTOKRZYSKIE,2015,total,
93,2800000,WARMIŃSKO-MAZURSKIE,2015,total,
94,3000000,WIELKOPOLSKIE,2015,total,
95,3200000,ZACHODNIOPOMORSKIE,2015,total,
96,200000,DOLNOŚLĄSKIE,2016,total,
97,400000,KUJAWSKO-POMORSKIE,2016,total,
98,600000,LUBELSKIE,2016,total,
99,800000,LUBUSKIE,2016,total,
100,1000000,ŁÓDZKIE,2016,total,
101,1200000,MAŁOPOLSKIE,2016,total,
102,1400000,MAZOWIECKIE,2016,total,
103,1600000,OPOLSKIE,2016,total,
104,1800000,PODKARPACKIE,2016,total,
105,2000000,PODLASKIE,2016,total,
106,2200000,POMORSKIE,2016,total,
107,2400000,ŚLĄSKIE,2016,total,
108,2600000,ŚWIĘTOKRZYSKIE,2016,total,
109,2800000,WARMIŃSKO-MAZURSKIE,2016,total,
