,code,powiat,sex,year,activity rate,economically active population,economically inactive persons,employed,employment rate,total,unemployed,unemployment rate,unidentified status on the labour market
0,201000,Powiat bolesławiecki,females,2021,51.4,18598.0,17553.0,17923.0,49.6,38908.0,675.0,3.6,2757.0
1,201000,Powiat bolesławiecki,males,2021,66.0,21682.0,11182.0,20869.0,63.5,35955.0,813.0,3.7,3091.0
2,201000,Powiat bolesławiecki,total,2021,58.4,40280.0,28735.0,38792.0,56.2,74863.0,1488.0,3.7,5848.0
3,202000,Powiat dzierżoniowski,females,2021,47.5,19229.0,21278.0,18419.0,45.5,44920.0,810.0,4.2,4413.0
4,202000,Powiat dzierżoniowski,males,2021,63.5,22324.0,12817.0,21238.0,60.4,39806.0,1086.0,4.9,4665.0
5,202000,Powiat dzierżoniowski,total,2021,54.9,41553.0,34095.0,39657.0,52.4,84726.0,1896.0,4.6,9078.0
6,203000,Powiat głogowski,females,2021,48.1,17168.0,18545.0,16263.0,45.5,37995.0,905.0,5.3,2282.0
7,203000,Powiat głogowski,males,2021,63.1,20657.0,12104.0,19946.0,60.9,35218.0,711.0,3.4,2457.0
8,203000,Powiat głogowski,total,2021,55.2,37825.0,30649.0,36209.0,52.9,73213.0,1616.0,4.3,4739.0
9,204000,Powiat górowski,females,2021,47.6,6452.0,7089.0,5931.0,43.8,14336.0,521.0,8.1,795.0
10,204000,Powiat górowski,males,2021,64.2,8408.0,4680.0,7834.0,59.9,13973.0,574.0,6.8,885.0
11,204000,Powiat górowski,total,2021,55.8,14860.0,11769.0,13765.0,51.7,28309.0,1095.0,7.4,1680.0
12,205000,Powiat jaworski,females,2021,49.9,9899.0,9948.0,9426.0,47.5,21331.0,473.0,4.8,1484.0
13,205000,Powiat jaworski,males,2021,64.6,11975.0,6564.0,11289.0,60.9,20172.0,686.0,5.7,1633.0
14,205000,Powiat jaworski,total,2021,57.0,21874.0,16512.0,20715.0,54.0,41503.0,1159.0,5.3,3117.0
15,206000,Powiat karkonoski,females,2021,50.5,12882.0,12621.0,12277.0,48.1,27925.0,605.0,4.7,2422.0
16,206000,Powiat karkonoski,males,2021,62.4,14234.0,8585.0,13383.0,58.6,25463.0,851.0,6.0,2644.0
17,206000,Powiat karkonoski,total,2021,56.1,27116.0,21206.0,25660.0,53.1,53388.0,1456.0,5.4,5066.0
18,207000,Powiat kamiennogórski,females,2021,47.6,8233.0,9051.0,7880.0,45.6,18694.0,353.0,4.3,1410.0
19,207000,Powiat kamiennogórski,males,2021,63.2,9970.0,5813.0,9416.0,59.7,17392.0,554.0,5.6,1609.0
20,207000,Powiat kamiennogórski,total,2021,55.0,18203.0,14864.0,17296.0,52.3,36086.0,907.0,5.0,3019.0
21,208000,Powiat kłodzki,females,2021,46.9,29919.0,33808.0,28399.0,44.6,69350.0,1520.0,5.1,5623.0
22,208000,Powiat kłodzki,males,2021,59.9,33795.0,22589.0,31623.0,56.1,62517.0,2172.0,6.4,6133.0
23,208000,Powiat kłodzki,total,2021,53.0,63714.0,56397.0,60022.0,50.0,131867.0,3692.0,5.8,11756.0
24,209000,Powiat legnicki,females,2021,51.6,11500.0,10807.0,11015.0,49.4,23731.0,485.0,4.2,1424.0
25,209000,Powiat legnicki,males,2021,66.0,13878.0,7152.0,13220.0,62.9,22416.0,658.0,4.7,1386.0
26,209000,Powiat legnicki,total,2021,58.6,25378.0,17959.0,24235.0,55.9,46147.0,1143.0,4.5,2810.0
27,210000,Powiat lubański,females,2021,48.2,10555.0,11323.0,10036.0,45.9,23685.0,519.0,4.9,1807.0
28,210000,Powiat lubański,males,2021,62.4,12436.0,7480.0,11710.0,58.8,21850.0,726.0,5.8,1934.0
29,210000,Powiat lubański,total,2021,55.0,22991.0,18803.0,21746.0,52.0,45535.0,1245.0,5.4,3741.0
30,211000,Powiat lubiński,females,2021,48.4,21026.0,22394.0,20105.0,46.3,46363.0,921.0,4.4,2943.0
31,211000,Powiat lubiński,males,2021,63.0,24609.0,14468.0,23922.0,61.2,42183.0,687.0,2.8,3106.0
32,211000,Powiat lubiński,total,2021,55.3,45635.0,36862.0,44027.0,53.4,88546.0,1608.0,3.5,6049.0
33,212000,Powiat lwówecki,females,2021,46.8,8413.0,9564.0,7928.0,44.1,19525.0,485.0,5.8,1548.0
34,212000,Powiat lwówecki,males,2021,61.1,10272.0,6531.0,9647.0,57.4,18425.0,625.0,6.1,1622.0
35,212000,Powiat lwówecki,total,2021,53.7,18685.0,16095.0,17575.0,50.5,37950.0,1110.0,5.9,3170.0
