,code,powiat,year,sex,education,count
0,201000,Powiat bolesławiecki,2021,total,total,76739
1,202000,Powiat dzierżoniowski,2021,total,total,86543
2,203000,Powiat głogowski,2021,total,total,75191
3,204000,Powiat górowski,2021,total,total,29042
4,205000,Powiat jaworski,2021,total,total,42493
5,206000,Powiat karkonoski,2021,total,total,54667
6,207000,Powiat kamiennogórski,2021,total,total,36913
7,208000,Powiat kłodzki,2021,total,total,134790
8,209000,Powiat legnicki,2021,total,total,47367
9,210000,Powiat lubański,2021,total,total,46595
10,211000,Powiat lubiński,2021,total,total,90704
11,212000,Powiat lwówecki,2021,total,total,38811
12,213000,Powiat milicki,2021,total,total,31027
13,214000,Powiat oleśnicki,2021,total,total,91536
14,215000,Powiat oławski,2021,total,total,66642
15,216000,Powiat polkowicki,2021,total,total,52620
16,217000,Powiat strzeliński,2021,total,total,36837
17,218000,Powiat średzki,2021,total,total,48878
18,219000,Powiat świdnicki,2021,total,total,134638
19,220000,Powiat trzebnicki,2021,total,total,74466
20,221000,Powiat wałbrzyski,2021,total,total,47771
21,222000,Powiat wołowski,2021,total,total,40252
22,223000,Powiat wrocławski,2021,total,total,142581
23,224000,Powiat ząbkowicki,2021,total,total,55208
24,225000,Powiat zgorzelecki,2021,total,total,77257
25,226000,Powiat złotoryjski,2021,total,total,36516
26,261000,City with powiat status Jelenia Góra,2021,total,total,69432
27,262000,City with powiat status Legnica,2021,total,total,83631
28,264000,City with powiat status Wrocław,2021,total,total,591335
29,265000,City with powiat status Wałbrzych since 2013,2021,total,total,93685
30,401000,Powiat aleksandrowski,2021,total,total,47168
31,402000,Powiat brodnicki,2021,total,total,66389
32,403000,Powiat bydgoski,2021,total,total,103150
33,404000,Powiat chełmiński,2021,total,total,43201
34,405000,Powiat golubsko-dobrzyński,2021,total,total,37717
35,406000,Powiat grudziądzki,2021,total,total,33300
36,407000,Powiat inowrocławski,2021,total,total,135028
37,408000,Powiat lipnowski,2021,total,total,54670
38,409000,Powiat mogileński,2021,total,total,38325
39,410000,Powiat nakielski,2021,total,total,71711
40,411000,Powiat radziejowski,2021,total,total,34028
41,412000,Powiat rypiński,2021,total,total,36136
42,413000,Powiat sępoleński,2021,total,total,33826
43,414000,Powiat świecki,2021,total,total,82391
44,415000,Powiat toruński,2021,total,total,93299
45,416000,Powiat tucholski,2021,total,total,40210
46,417000,Powiat wąbrzeski,2021,total,total,28488
47,418000,Powiat włocławski,2021,total,total,72400
48,419000,Powiat żniński,2021,total,total,58848
49,461000,City with powiat status Bydgoszcz,2021,total,total,297903
50,462000,City with powiat status Grudziądz,2021,total,total,79760
51,463000,City with powiat status Toruń,2021,total,total,174283
52,464000,City with powiat status Włocławek,2021,total,total,93166
53,601000,Powiat bialski,2021,total,total,91805
54,602000,Powiat biłgorajski,2021,total,total,85748
55,603000,Powiat chełmski,2021,total,total,65266
56,604000,Powiat hrubieszowski,2021,total,total,52616
57,605000,Powiat janowski,2021,total,total,38523
58,606000,Powiat krasnostawski,2021,total,total,54201
59,607000,Powiat kraśnicki,2021,total,total,80681
60,608000,Powiat lubartowski,2021,total,total,74278
61,609000,Powiat lubelski,2021,total,total,136865
62,610000,Powiat łęczyński,2021,total,total,47801
63,611000,Powiat łukowski,2021,total,total,86678
64,612000,Powiat opolski,2021,total,total,49813
65,613000,Powiat parczewski,2021,total,total,29015
66,614000,Powiat puławski,2021,total,total,96299
67,615000,Powiat radzyński,2021,total,total,48525
68,616000,Powiat rycki,2021,total,total,45801
69,617000,Powiat świdnicki,2021,total,total,61549
70,618000,Powiat tomaszowski,2021,total,total,69919
71,619000,Powiat włodawski,2021,total,total,31818
72,620000,Powiat zamojski,2021,total,total,90075
73,661000,City with powiat status Biała Podlaska,2021,total,total,47883
74,662000,City with powiat status Chełm,2021,total,total,52801
75,663000,City with powiat status Lublin,2021,total,total,292096
76,664000,City with powiat status Zamość,2021,total,total,53035
77,801000,Powiat gorzowski,2021,total,total,61787
78,802000,Powiat krośnieński,2021,total,total,46906
79,803000,Powiat międzyrzecki,2021,total,total,48528
80,804000,Powiat nowosolski,2021,total,total,72448
81,805000,Powiat słubicki,2021,total,total,40014
82,806000,Powiat strzelecko-drezdenecki,2021,total,total,41296
83,807000,Powiat sulęciński,2021,total,total,29313
84,808000,Powiat świebodziński,2021,total,total,47209
85,809000,Powiat zielonogórski,2021,total,total,64482
86,810000,Powiat żagański,2021,total,total,66221
87,811000,Powiat żarski,2021,total,total,81270
88,812000,Powiat wschowski,2021,total,total,32541
89,861000,City with powiat status Gorzów Wielkopolski,2021,total,total,105129
90,862000,City with powiat status Zielona Góra,2021,total,total,121615
91,1001000,Powiat bełchatowski,2021,total,total,94355
92,1002000,Powiat kutnowski,2021,total,total,82354
93,1003000,Powiat łaski,2021,total,total,42945
94,1004000,Powiat łęczycki,2021,total,total,41967
95,1005000,Powiat łowicki,2021,total,total,65783
96,1006000,Powiat łódzki wschodni,2021,total,total,63333
97,1007000,Powiat opoczyński,2021,total,total,63071
98,1008000,Powiat pabianicki,2021,total,total,104780
99,1009000,Powiat pajęczański,2021,total,total,43197
100,1010000,Powiat piotrkowski,2021,total,total,77845
101,1011000,Powiat poddębicki,2021,total,total,34719
102,1012000,Powiat radomszczański,2021,total,total,95905
103,1013000,Powiat rawski,2021,total,total,40520
104,1014000,Powiat sieradzki,2021,total,total,98842
105,1015000,Powiat skierniewicki,2021,total,total,32376
106,1016000,Powiat tomaszowski,2021,total,total,98105
107,1017000,Powiat wieluński,2021,total,total,64350
108,1018000,Powiat wieruszowski,2021,total,total,36068
109,1019000,Powiat zduńskowolski,2021,total,total,56056
110,1020000,Powiat zgierski,2021,total,total,145493
111,1021000,Powiat brzeziński,2021,total,total,26323
112,1061000,City with powiat status Łódź,2021,total,total,597630
113,1062000,City with powiat status Piotrków Trybunalski,2021,total,total,60556
114,1063000,City with powiat status Skierniewice,2021,total,total,40159
115,1201000,Powiat bocheński,2021,total,total,89762
116,1202000,Powiat brzeski,2021,total,total,78485
117,1203000,Powiat chrzanowski,2021,total,total,106559
118,1204000,Powiat dąbrowski,2021,total,total,50340
119,1205000,Powiat gorlicki,2021,total,total,91159
120,1206000,Powiat krakowski,2021,total,total,249758
121,1207000,Powiat limanowski,2021,total,total,108136
122,1208000,Powiat miechowski,2021,total,total,41583
123,1209000,Powiat myślenicki,2021,total,total,107969
124,1210000,Powiat nowosądecki,2021,total,total,177458
125,1211000,Powiat nowotarski,2021,total,total,161879
126,1212000,Powiat olkuski,2021,total,total,95024
127,1213000,Powiat oświęcimski,2021,total,total,130899
128,1214000,Powiat proszowicki,2021,total,total,37067
129,1215000,Powiat suski,2021,total,total,70990
130,1216000,Powiat tarnowski,2021,total,total,169417
131,1217000,Powiat tatrzański,2021,total,total,57356
132,1218000,Powiat wadowicki,2021,total,total,134934
133,1219000,Powiat wielicki,2021,total,total,115556
134,1261000,City with powiat status Kraków,2021,total,total,702053
135,1262000,City with powiat status Nowy Sącz,2021,total,total,70031
136,1263000,City with powiat status Tarnów,2021,total,total,94241
137,1401000,Powiat białobrzeski,2021,total,total,27916
138,1402000,Powiat ciechanowski,2021,total,total,74840
139,1403000,Powiat garwoliński,2021,total,total,89043
140,1404000,Powiat gostyniński,2021,total,total,38010
141,1405000,Powiat grodziski,2021,total,total,85264
142,1406000,Powiat grójecki,2021,total,total,83976
143,1407000,Powiat kozienicki,2021,total,total,50586
144,1408000,Powiat legionowski,2021,total,total,106979
145,1409000,Powiat lipski,2021,total,total,28380
146,1410000,Powiat łosicki,2021,total,total,25526
147,1411000,Powiat makowski,2021,total,total,36903
148,1412000,Powiat miński,2021,total,total,133261
149,1413000,Powiat mławski,2021,total,total,60437
150,1414000,Powiat nowodworski,2021,total,total,68568
151,1415000,Powiat ostrołęcki,2021,total,total,73809
152,1416000,Powiat ostrowski,2021,total,total,60525
