,code,powiat,type,year,value
0,201000,Powiat bolesławiecki,grand total,2002,1873.59
1,202000,Powiat dzierżoniowski,grand total,2002,1703.68
2,203000,Powiat głogowski,grand total,2002,1868.6
3,204000,Powiat górowski,grand total,2002,1730.53
4,205000,Powiat jaworski,grand total,2002,1705.19
5,206000,Powiat karkonoski,grand total,2002,1691.34
6,207000,Powiat kamiennogórski,grand total,2002,1728.28
7,208000,Powiat kłodzki,grand total,2002,1786.22
8,209000,Powiat legnicki,grand total,2002,1698.83
9,210000,Powiat lubański,grand total,2002,1704.6
10,211000,Powiat lubiński,grand total,2002,3384.93
11,212000,Powiat lwówecki,grand total,2002,1748.34
12,213000,Powiat milicki,grand total,2002,1696.74
13,214000,Powiat oleśnicki,grand total,2002,1740.34
14,215000,Powiat oławski,grand total,2002,1972.34
15,216000,Powiat polkowicki,grand total,2002,2095.42
16,217000,Powiat strzeliński,grand total,2002,1948.89
17,218000,Powiat średzki,grand total,2002,1934.31
18,219000,Powiat świdnicki,grand total,2002,1898.74
19,220000,Powiat trzebnicki,grand total,2002,1843.55
20,221000,Powiat wałbrzyski,grand total,2002,1639.23
21,222000,Powiat wołowski,grand total,2002,1894.47
22,223000,Powiat wrocławski,grand total,2002,2104.18
23,224000,Powiat ząbkowicki,grand total,2002,1880.11
24,225000,Powiat zgorzelecki,grand total,2002,2663.37
25,226000,Powiat złotoryjski,grand total,2002,1822.97
26,261000,City with powiat status Jelenia Góra,grand total,2002,2106.23
27,262000,City with powiat status Legnica,grand total,2002,1916.23
28,263000,City with powiat status Wałbrzych to 2002,grand total,2002,2117.52
29,264000,City with powiat status Wrocław,grand total,2002,2298.65
30,265000,City with powiat status Wałbrzych since 2013,grand total,2002,
31,401000,Powiat aleksandrowski,grand total,2002,1666.3
32,402000,Powiat brodnicki,grand total,2002,1732.43
33,403000,Powiat bydgoski,grand total,2002,1741.56
34,404000,Powiat chełmiński,grand total,2002,1876.56
35,405000,Powiat golubsko-dobrzyński,grand total,2002,1704.25
36,406000,Powiat grudziądzki,grand total,2002,1668.7
37,407000,Powiat inowrocławski,grand total,2002,1878.98
38,408000,Powiat lipnowski,grand total,2002,1622.21
39,409000,Powiat mogileński,grand total,2002,1676.93
40,410000,Powiat nakielski,grand total,2002,1751.93
41,411000,Powiat radziejowski,grand total,2002,1682.98
42,412000,Powiat rypiński,grand total,2002,1655.63
43,413000,Powiat sępoleński,grand total,2002,1574.75
44,414000,Powiat świecki,grand total,2002,2103.67
45,415000,Powiat toruński,grand total,2002,1733.44
46,416000,Powiat tucholski,grand total,2002,1675.59
47,417000,Powiat wąbrzeski,grand total,2002,1851.5
48,418000,Powiat włocławski,grand total,2002,1655.51
49,419000,Powiat żniński,grand total,2002,1665.11
50,461000,City with powiat status Bydgoszcz,grand total,2002,2126.46
51,462000,City with powiat status Grudziądz,grand total,2002,1811.37
52,463000,City with powiat status Toruń,grand total,2002,2070.67
53,464000,City with powiat status Włocławek,grand total,2002,2029.35
54,601000,Powiat bialski,grand total,2002,1613.51
55,602000,Powiat biłgorajski,grand total,2002,1772.75
56,603000,Powiat chełmski,grand total,2002,1771.12
