,county_code,sex,education,pse1_nc_pop,county_kts,county_name
0,201,females,basic vocational or basic sectoral vocational,8243,10030210101000,Powiat bolesławiecki
1,201,females,general secondary,4880,10030210101000,Powiat bolesławiecki
2,201,females,"lower secondary, primary and incomplete primary",7847,10030210101000,Powiat bolesławiecki
3,201,females,post-secondary and vocational secondary,7365,10030210101000,Powiat bolesławiecki
4,201,females,tertiary,8351,10030210101000,Powiat bolesławiecki
5,201,males,basic vocational or basic sectoral vocational,11332,10030210101000,Powiat bolesławiecki
6,201,males,general secondary,3114,10030210101000,Powiat bolesławiecki
7,201,males,"lower secondary, primary and incomplete primary",6476,10030210101000,Powiat bolesławiecki
8,201,males,post-secondary and vocational secondary,8749,10030210101000,Powiat bolesławiecki
9,201,males,tertiary,5069,10030210101000,Powiat bolesławiecki
10,202,females,basic vocational or basic sectoral vocational,8811,10030210302000,Powiat dzierżoniowski
11,202,females,general secondary,5911,10030210302000,Powiat dzierżoniowski
12,202,females,"lower secondary, primary and incomplete primary",9074,10030210302000,Powiat dzierżoniowski
13,202,females,post-secondary and vocational secondary,8710,10030210302000,Powiat dzierżoniowski
14,202,females,tertiary,9126,10030210302000,Powiat dzierżoniowski
15,202,males,basic vocational or basic sectoral vocational,11080,10030210302000,Powiat dzierżoniowski
16,202,males,general secondary,3734,10030210302000,Powiat dzierżoniowski
17,202,males,"lower secondary, primary and incomplete primary",7806,10030210302000,Powiat dzierżoniowski
18,202,males,post-secondary and vocational secondary,9592,10030210302000,Powiat dzierżoniowski
19,202,males,tertiary,5554,10030210302000,Powiat dzierżoniowski
20,203,females,basic vocational or basic sectoral vocational,7037,10030210203000,Powiat głogowski
21,203,females,general secondary,5201,10030210203000,Powiat głogowski
22,203,females,"lower secondary, primary and incomplete primary",6785,10030210203000,Powiat głogowski
23,203,females,post-secondary and vocational secondary,7429,10030210203000,Powiat głogowski
24,203,females,tertiary,9655,10030210203000,Powiat głogowski
25,203,males,basic vocational or basic sectoral vocational,10086,10030210203000,Powiat głogowski
26,203,males,general secondary,3157,10030210203000,Powiat głogowski
27,203,males,"lower secondary, primary and incomplete primary",5690,10030210203000,Powiat głogowski
28,203,males,post-secondary and vocational secondary,9294,10030210203000,Powiat głogowski
29,203,males,tertiary,6070,10030210203000,Powiat głogowski
30,204,females,basic vocational or basic sectoral vocational,3185,10030210204000,Powiat górowski
31,204,females,general secondary,1591,10030210204000,Powiat górowski
32,204,females,"lower secondary, primary and incomplete primary",3456,10030210204000,Powiat górowski
33,204,females,post-secondary and vocational secondary,2915,10030210204000,Powiat górowski
34,204,females,tertiary,2554,10030210204000,Powiat górowski
35,204,males,basic vocational or basic sectoral vocational,4902,10030210204000,Powiat górowski
36,204,males,general secondary,972,10030210204000,Powiat górowski
37,204,males,"lower secondary, primary and incomplete primary",3149,10030210204000,Powiat górowski
38,204,males,post-secondary and vocational secondary,3233,10030210204000,Powiat górowski
39,204,males,tertiary,1408,10030210204000,Powiat górowski
40,205,females,basic vocational or basic sectoral vocational,4521,10030210105000,Powiat jaworski
41,205,females,general secondary,2830,10030210105000,Powiat jaworski
42,205,females,"lower secondary, primary and incomplete primary",4254,10030210105000,Powiat jaworski
43,205,females,post-secondary and vocational secondary,4059,10030210105000,Powiat jaworski
44,205,females,tertiary,4500,10030210105000,Powiat jaworski
45,205,males,basic vocational or basic sectoral vocational,6795,10030210105000,Powiat jaworski
46,205,males,general secondary,1717,10030210105000,Powiat jaworski
47,205,males,"lower secondary, primary and incomplete primary",3793,10030210105000,Powiat jaworski
48,205,males,post-secondary and vocational secondary,4495,10030210105000,Powiat jaworski
49,205,males,tertiary,2722,10030210105000,Powiat jaworski
50,206,females,basic vocational or basic sectoral vocational,5421,10030210106000,Powiat karkonoski
51,206,females,general secondary,3813,10030210106000,Powiat karkonoski
52,206,females,"lower secondary, primary and incomplete primary",5000,10030210106000,Powiat karkonoski
53,206,females,post-secondary and vocational secondary,5250,10030210106000,Powiat karkonoski
54,206,females,tertiary,6591,10030210106000,Powiat karkonoski
55,206,males,basic vocational or basic sectoral vocational,7589,10030210106000,Powiat karkonoski
56,206,males,general secondary,2382,10030210106000,Powiat karkonoski
57,206,males,"lower secondary, primary and incomplete primary",4583,10030210106000,Powiat karkonoski
58,206,males,post-secondary and vocational secondary,5570,10030210106000,Powiat karkonoski
59,206,males,tertiary,4193,10030210106000,Powiat karkonoski
60,207,females,basic vocational or basic sectoral vocational,4605,10030210107000,Powiat kamiennogórski
61,207,females,general secondary,2367,10030210107000,Powiat kamiennogórski
62,207,females,"lower secondary, primary and incomplete primary",3738,10030210107000,Powiat kamiennogórski
63,207,females,post-secondary and vocational secondary,3613,10030210107000,Powiat kamiennogórski
64,207,females,tertiary,3656,10030210107000,Powiat kamiennogórski
65,207,males,basic vocational or basic sectoral vocational,6334,10030210107000,Powiat kamiennogórski
66,207,males,general secondary,1605,10030210107000,Powiat kamiennogórski
67,207,males,"lower secondary, primary and incomplete primary",3269,10030210107000,Powiat kamiennogórski
68,207,males,post-secondary and vocational secondary,3615,10030210107000,Powiat kamiennogórski
69,207,males,tertiary,2034,10030210107000,Powiat kamiennogórski
70,208,females,basic vocational or basic sectoral vocational,13228,10030210308000,Powiat kłodzki
71,208,females,general secondary,9920,10030210308000,Powiat kłodzki
72,208,females,"lower secondary, primary and incomplete primary",13578,10030210308000,Powiat kłodzki
73,208,females,post-secondary and vocational secondary,13703,10030210308000,Powiat kłodzki
74,208,females,tertiary,14345,10030210308000,Powiat kłodzki
75,208,males,basic vocational or basic sectoral vocational,18134,10030210308000,Powiat kłodzki
76,208,males,general secondary,6269,10030210308000,Powiat kłodzki
77,208,males,"lower secondary, primary and incomplete primary",11751,10030210308000,Powiat kłodzki
78,208,males,post-secondary and vocational secondary,14915,10030210308000,Powiat kłodzki
79,208,males,tertiary,8787,10030210308000,Powiat kłodzki
80,209,females,basic vocational or basic sectoral vocational,4589,10030210209000,Powiat legnicki
81,209,females,general secondary,2786,10030210209000,Powiat legnicki
82,209,females,"lower secondary, primary and incomplete primary",5105,10030210209000,Powiat legnicki
83,209,females,post-secondary and vocational secondary,4963,10030210209000,Powiat legnicki
84,209,females,tertiary,5325,10030210209000,Powiat legnicki
85,209,males,basic vocational or basic sectoral vocational,6661,10030210209000,Powiat legnicki
86,209,males,general secondary,1649,10030210209000,Powiat legnicki
87,209,males,"lower secondary, primary and incomplete primary",4458,10030210209000,Powiat legnicki
88,209,males,post-secondary and vocational secondary,5862,10030210209000,Powiat legnicki
89,209,males,tertiary,3324,10030210209000,Powiat legnicki
90,210,females,basic vocational or basic sectoral vocational,5077,10030210110000,Powiat lubański
91,210,females,general secondary,3009,10030210110000,Powiat lubański
92,210,females,"lower secondary, primary and incomplete primary",4224,10030210110000,Powiat lubański
93,210,females,post-secondary and vocational secondary,5321,10030210110000,Powiat lubański
94,210,females,tertiary,4718,10030210110000,Powiat lubański
