,county_code,sex,education,pse1_nc_pop,pse2_nc_emp,county_kts,county_name
0,201,females,basic vocational or basic sectoral vocational,8243,3353,10030210101000,Powiat bolesławiecki
1,201,females,general secondary and post-secondary,12245,7190,10030210101000,Powiat bolesławiecki
2,201,females,"lower secondary, primary and incomplete primary",7847,1067,10030210101000,Powiat bolesławiecki
3,201,females,tertiary,8351,6085,10030210101000,Powiat bolesławiecki
4,201,males,basic vocational or basic sectoral vocational,11332,6613,10030210101000,Powiat bolesławiecki
5,201,males,general secondary and post-secondary,11863,8414,10030210101000,Powiat bolesławiecki
6,201,males,"lower secondary, primary and incomplete primary",6476,1645,10030210101000,Powiat bolesławiecki
7,201,males,tertiary,5069,3796,10030210101000,Powiat bolesławiecki
8,202,females,basic vocational or basic sectoral vocational,8811,2856,10030210302000,Powiat dzierżoniowski
9,202,females,general secondary and post-secondary,14621,7812,10030210302000,Powiat dzierżoniowski
10,202,females,"lower secondary, primary and incomplete primary",9074,1116,10030210302000,Powiat dzierżoniowski
11,202,females,tertiary,9126,6367,10030210302000,Powiat dzierżoniowski
12,202,males,basic vocational or basic sectoral vocational,11080,5807,10030210302000,Powiat dzierżoniowski
13,202,males,general secondary and post-secondary,13326,8992,10030210302000,Powiat dzierżoniowski
14,202,males,"lower secondary, primary and incomplete primary",7806,2137,10030210302000,Powiat dzierżoniowski
15,202,males,tertiary,5554,3837,10030210302000,Powiat dzierżoniowski
16,203,females,basic vocational or basic sectoral vocational,7037,2036,10030210203000,Powiat głogowski
17,203,females,general secondary and post-secondary,12630,6358,10030210203000,Powiat głogowski
18,203,females,"lower secondary, primary and incomplete primary",6785,602,10030210203000,Powiat głogowski
19,203,females,tertiary,9655,7149,10030210203000,Powiat głogowski
20,203,males,basic vocational or basic sectoral vocational,10086,5093,10030210203000,Powiat głogowski
21,203,males,general secondary and post-secondary,12451,8697,10030210203000,Powiat głogowski
22,203,males,"lower secondary, primary and incomplete primary",5690,1086,10030210203000,Powiat głogowski
23,203,males,tertiary,6070,4777,10030210203000,Powiat głogowski
24,204,females,basic vocational or basic sectoral vocational,3185,1204,10030210204000,Powiat górowski
25,204,females,general secondary and post-secondary,4506,2446,10030210204000,Powiat górowski
26,204,females,"lower secondary, primary and incomplete primary",3456,396,10030210204000,Powiat górowski
27,204,females,tertiary,2554,1838,10030210204000,Powiat górowski
28,204,males,basic vocational or basic sectoral vocational,4902,2879,10030210204000,Powiat górowski
29,204,males,general secondary and post-secondary,4205,3008,10030210204000,Powiat górowski
30,204,males,"lower secondary, primary and incomplete primary",3149,826,10030210204000,Powiat górowski
31,204,males,tertiary,1408,1037,10030210204000,Powiat górowski
