,county_code,year,wage,county_kts,county_name,tp1_nc_pop,tp2_yr_pop,tp3a_nc_employed,tp4a_employed,tp5a_employed_18-64,tp5c_employed,tp6a_employed_18-64,tp6c_employed
0,201.0,2002,1873.59,10030210101000,Powiat bolesławiecki,76739,71744.0,38792.0,40320.0,,,,
1,202.0,2002,1703.68,10030210302000,Powiat dzierżoniowski,86543,89409.0,39657.0,46850.0,,,,
2,203.0,2002,1868.6,10030210203000,Powiat głogowski,75191,72322.0,36209.0,38258.0,,,,
3,204.0,2002,1730.53,10030210204000,Powiat górowski,29042,29108.0,13765.0,15049.0,,,,
4,205.0,2002,1705.19,10030210105000,Powiat jaworski,42493,43339.0,20715.0,23403.0,,,,
5,206.0,2002,1691.34,10030210106000,Powiat karkonoski,54667,53618.0,25660.0,28471.0,,,,
6,207.0,2002,1728.28,10030210107000,Powiat kamiennogórski,36913,38944.0,17296.0,20368.0,,,,
7,208.0,2002,1786.22,10030210308000,Powiat kłodzki,134790,142622.0,60022.0,71311.0,,,,
8,209.0,2002,1698.83,10030210209000,Powiat legnicki,47367,43328.0,24235.0,24220.0,,,,
9,210.0,2002,1704.6,10030210110000,Powiat lubański,46595,47451.0,21746.0,24675.0,,,,
10,211.0,2002,3384.93,10030210211000,Powiat lubiński,90704,88328.0,44027.0,47167.0,,,,
11,212.0,2002,1748.34,10030210112000,Powiat lwówecki,38811,39784.0,17575.0,20091.0,,,,
12,213.0,2002,1696.74,10030210413000,Powiat milicki,31027,29784.0,16174.0,16828.0,,,,
13,214.0,2002,1740.34,10030210414000,Powiat oleśnicki,91536,83623.0,50426.0,49923.0,,,,
14,215.0,2002,1972.34,10030210415000,Powiat oławski,66642,58261.0,36495.0,35190.0,,,,
15,216.0,2002,2095.42,10030210216000,Powiat polkowicki,52620,48543.0,26442.0,26699.0,,,,
16,217.0,2002,1948.89,10030210417000,Powiat strzeliński,36837,36723.0,18984.0,20602.0,,,,
17,218.0,2002,1934.31,10030210418000,Powiat średzki,48878,39595.0,28010.0,24509.0,,,,
18,219.0,2002,1898.74,10030210319000,Powiat świdnicki,134638,134489.0,66834.0,74372.0,,,,
19,220.0,2002,1843.55,10030210420000,Powiat trzebnicki,74466,61855.0,41088.0,37113.0,,,,
20,221.0,2002,1639.23,10030210321000,Powiat wałbrzyski,47771,49776.0,21512.0,25286.0,,,,
21,222.0,2002,1894.47,10030210422000,Powiat wołowski,40252,39192.0,20291.0,21634.0,,,,
22,223.0,2002,2104.18,10030210423000,Powiat wrocławski,142581,78559.0,90479.0,53577.0,,,,
23,224.0,2002,1880.11,10030210324000,Powiat ząbkowicki,55208,58118.0,25917.0,30454.0,,,,
24,225.0,2002,2663.37,10030210125000,Powiat zgorzelecki,77257,79298.0,36330.0,42028.0,,,,
25,226.0,2002,1822.97,10030210126000,Powiat złotoryjski,36516,37883.0,17456.0,20154.0,,,,
26,261.0,2002,2106.23,10030210161000,Powiat m. Jelenia Góra,69432,76571.0,32309.0,40353.0,,,,
27,262.0,2002,1916.23,10030210262000,Powiat m. Legnica,83631,89726.0,40849.0,49080.0,,,,
28,265.0,2002,2117.52,10030210365000,Powiat m. Wałbrzych,93685,111604.0,40714.0,55690.0,,,,
