,county_code,county_kts,county_name,type,year,wage,NC_population,YR_population
0,201.0,10030210101000.0,Powiat bolesławiecki,grand total,2002,1873.59,76739,78228.0
1,202.0,10030210302000.0,Powiat dzierżoniowski,grand total,2002,1703.68,86543,100315.0
2,203.0,10030210203000.0,Powiat głogowski,grand total,2002,1868.6,75191,76992.0
3,204.0,10030210204000.0,Powiat górowski,grand total,2002,1730.53,29042,32252.0
4,205.0,10030210105000.0,Powiat jaworski,grand total,2002,1705.19,42493,47991.0
5,206.0,10030210106000.0,Powiat karkonoski,grand total,2002,1691.34,54667,59627.0
6,207.0,10030210107000.0,Powiat kamiennogórski,grand total,2002,1728.28,36913,43351.0
7,208.0,10030210308000.0,Powiat kłodzki,grand total,2002,1786.22,134790,158577.0
8,209.0,10030210209000.0,Powiat legnicki,grand total,2002,1698.83,47367,48013.0
9,210.0,10030210110000.0,Powiat lubański,grand total,2002,1704.6,46595,52732.0
10,211.0,10030210211000.0,Powiat lubiński,grand total,2002,3384.93,90704,94021.0
11,212.0,10030210112000.0,Powiat lwówecki,grand total,2002,1748.34,38811,44520.0
12,213.0,10030210413000.0,Powiat milicki,grand total,2002,1696.74,31027,32739.0
13,214.0,10030210414000.0,Powiat oleśnicki,grand total,2002,1740.34,91536,91177.0
14,215.0,10030210415000.0,Powiat oławski,grand total,2002,1972.34,66642,63145.0
15,216.0,10030210216000.0,Powiat polkowicki,grand total,2002,2095.42,52620,52258.0
16,217.0,10030210417000.0,Powiat strzeliński,grand total,2002,1948.89,36837,41006.0
17,218.0,10030210418000.0,Powiat średzki,grand total,2002,1934.31,48878,43778.0
18,219.0,10030210319000.0,Powiat świdnicki,grand total,2002,1898.74,134638,148520.0
19,220.0,10030210420000.0,Powiat trzebnicki,grand total,2002,1843.55,74466,68031.0
20,221.0,10030210321000.0,Powiat wałbrzyski,grand total,2002,1639.23,47771,55695.0
21,222.0,10030210422000.0,Powiat wołowski,grand total,2002,1894.47,40252,43465.0
22,223.0,10030210423000.0,Powiat wrocławski,grand total,2002,2104.18,142581,86598.0
23,224.0,10030210324000.0,Powiat ząbkowicki,grand total,2002,1880.11,55208,64923.0
24,225.0,10030210125000.0,Powiat zgorzelecki,grand total,2002,2663.37,77257,86800.0
25,226.0,10030210126000.0,Powiat złotoryjski,grand total,2002,1822.97,36516,41758.0
26,261.0,10030210161000.0,Powiat m. Jelenia Góra,grand total,2002,2106.23,69432,85501.0
27,262.0,10030210262000.0,Powiat m. Legnica,grand total,2002,1916.23,83631,98061.0
28,265.0,10030210365000.0,Powiat m. Wałbrzych,grand total,2002,2117.52,93685,124208.0
29,264.0,10030210564000.0,Powiat m. Wrocław,grand total,2002,2298.65,591335,622418.0
30,265.0,10030210365000.0,Powiat m. Wałbrzych,grand total,2002,,93685,124208.0
31,401.0,10040410801000.0,Powiat aleksandrowski,grand total,2002,1666.3,47168,50218.0
32,402.0,10040410702000.0,Powiat brodnicki,grand total,2002,1732.43,66389,64843.0
33,403.0,10040410603000.0,Powiat bydgoski,grand total,2002,1741.56,103150,76549.0
34,404.0,10040410704000.0,Powiat chełmiński,grand total,2002,1876.56,43201,44855.0
35,405.0,10040410705000.0,Powiat golubsko-dobrzyński,grand total,2002,1704.25,37717,38860.0
36,406.0,10040410706000.0,Powiat grudziądzki,grand total,2002,1668.7,33300,32734.0
37,407.0,10040416707000.0,Powiat inowrocławski,grand total,2002,1878.98,135028,149008.0
38,408.0,10040410808000.0,Powiat lipnowski,grand total,2002,1622.21,54670,57386.0
39,409.0,10040416709000.0,Powiat mogileński,grand total,2002,1676.93,38325,41549.0
40,410.0,10040416710000.0,Powiat nakielski,grand total,2002,1751.93,71711,72281.0
41,411.0,10040410811000.0,Powiat radziejowski,grand total,2002,1682.98,34028,38500.0
42,412.0,10040410712000.0,Powiat rypiński,grand total,2002,1655.63,36136,39300.0
43,413.0,10040416813000.0,Powiat sępoleński,grand total,2002,1574.75,33826,35396.0
44,414.0,10040416814000.0,Powiat świecki,grand total,2002,2103.67,82391,84908.0
45,415.0,10040410615000.0,Powiat toruński,grand total,2002,1733.44,93299,71748.0
46,416.0,10040416816000.0,Powiat tucholski,grand total,2002,1675.59,40210,40739.0
47,417.0,10040410717000.0,Powiat wąbrzeski,grand total,2002,1851.5,28488,30728.0
48,418.0,10040410818000.0,Powiat włocławski,grand total,2002,1655.51,72400,76607.0
49,419.0,10040416719000.0,Powiat żniński,grand total,2002,1665.11,58848,61359.0
50,461.0,10040410661000.0,Powiat m. Bydgoszcz,grand total,2002,2126.46,297903,348907.0
51,462.0,10040410762000.0,Powiat m. Grudziądz,grand total,2002,1811.37,79760,91808.0
52,463.0,10040410663000.0,Powiat m. Toruń,grand total,2002,2070.67,174283,194222.0
53,464.0,10040410864000.0,Powiat m. Włocławek,grand total,2002,2029.35,93166,110341.0
54,601.0,10060610901000.0,Powiat bialski,grand total,2002,1613.51,91805,103947.0
55,602.0,10060611002000.0,Powiat biłgorajski,grand total,2002,1772.75,85748,94289.0
56,603.0,10060611003000.0,Powiat chełmski,grand total,2002,1771.12,65266,68255.0
57,604.0,10060611004000.0,Powiat hrubieszowski,grand total,2002,1780.06,52616,64850.0
58,605.0,10060611205000.0,Powiat janowski,grand total,2002,1673.03,38523,44139.0
59,606.0,10060611006000.0,Powiat krasnostawski,grand total,2002,1746.44,54201,74722.0
60,607.0,10060611207000.0,Powiat kraśnicki,grand total,2002,1719.08,80681,92888.0
61,608.0,10060611108000.0,Powiat lubartowski,grand total,2002,1682.56,74278,83254.0
62,609.0,10060611109000.0,Powiat lubelski,grand total,2002,1715.9,136865,124197.0
63,610.0,10060611110000.0,Powiat łęczyński,grand total,2002,3043.88,47801,49341.0
64,611.0,10060611211000.0,Powiat łukowski,grand total,2002,1611.35,86678,95344.0
65,612.0,10060611212000.0,Powiat opolski,grand total,2002,1775.14,49813,58575.0
66,613.0,10060610913000.0,Powiat parczewski,grand total,2002,1670.96,29015,34228.0
67,614.0,10060611214000.0,Powiat puławski,grand total,2002,2087.67,96299,107974.0
68,615.0,10060610915000.0,Powiat radzyński,grand total,2002,1811.3,48525,55459.0
69,616.0,10060611216000.0,Powiat rycki,grand total,2002,1715.91,45801,55000.0
70,617.0,10060611117000.0,Powiat świdnicki,grand total,2002,1781.19,61549,66613.0
71,618.0,10060611018000.0,Powiat tomaszowski,grand total,2002,1681.71,69919,82063.0
72,619.0,10060610919000.0,Powiat włodawski,grand total,2002,1772.17,31818,36965.0
73,620.0,10060611020000.0,Powiat zamojski,grand total,2002,1554.29,90075,103673.0
74,661.0,10060610961000.0,Powiat m. Biała Podlaska,grand total,2002,1818.7,47883,50249.0
75,662.0,10060611062000.0,Powiat m. Chełm,grand total,2002,1897.69,52801,61853.0
76,663.0,10060611163000.0,Powiat m. Lublin,grand total,2002,2145.22,292096,334338.0
77,664.0,10060611064000.0,Powiat m. Zamość,grand total,2002,1970.57,53035,58999.0
