"Code";"Name";"quarter 1;total;total;2010;[PLN]";"quarter 1;total;total;2011;[PLN]";"quarter 1;total;total;2012;[PLN]";"quarter 1;total;total;2013;[PLN]";"quarter 1;total;total;2014;[PLN]";"quarter 1;total;total;2015;[PLN]";"quarter 1;total;total;2016;[PLN]";"quarter 1;total;total;2017;[PLN]";"quarter 1;total;total;2018;[PLN]";"quarter 1;total;total;2019;[PLN]";"quarter 1;total;total;2020;[PLN]";"quarter 1;total;total;2021;[PLN]";"quarter 1;total;total;2022;[PLN]";"quarter 1;total;total;2023;[PLN]";"quarter 1;total;total;2024;[PLN]";"quarter 1;total;total;2025;[PLN]";"quarter 2;total;total;2010;[PLN]";"quarter 2;total;total;2011;[PLN]";"quarter 2;total;total;2012;[PLN]";"quarter 2;total;total;2013;[PLN]";"quarter 2;total;total;2014;[PLN]";"quarter 2;total;total;2015;[PLN]";"quarter 2;total;total;2016;[PLN]";"quarter 2;total;total;2017;[PLN]";"quarter 2;total;total;2018;[PLN]";"quarter 2;total;total;2019;[PLN]";"quarter 2;total;total;2020;[PLN]";"quarter 2;total;total;2021;[PLN]";"quarter 2;total;total;2022;[PLN]";"quarter 2;total;total;2023;[PLN]";"quarter 2;total;total;2024;[PLN]";"quarter 2;total;total;2025;[PLN]";"quarter 3;total;total;2010;[PLN]";"quarter 3;total;total;2011;[PLN]";"quarter 3;total;total;2012;[PLN]";"quarter 3;total;total;2013;[PLN]";"quarter 3;total;total;2014;[PLN]";"quarter 3;total;total;2015;[PLN]";"quarter 3;total;total;2016;[PLN]";"quarter 3;total;total;2017;[PLN]";"quarter 3;total;total;2018;[PLN]";"quarter 3;total;total;2019;[PLN]";"quarter 3;total;total;2020;[PLN]";"quarter 3;total;total;2021;[PLN]";"quarter 3;total;total;2022;[PLN]";"quarter 3;total;total;2023;[PLN]";"quarter 3;total;total;2024;[PLN]";"quarter 3;total;total;2025;[PLN]";"quarter 4;total;total;2010;[PLN]";"quarter 4;total;total;2011;[PLN]";"quarter 4;total;total;2012;[PLN]";"quarter 4;total;total;2013;[PLN]";"quarter 4;total;total;2014;[PLN]";"quarter 4;total;total;2015;[PLN]";"quarter 4;total;total;2016;[PLN]";"quarter 4;total;total;2017;[PLN]";"quarter 4;total;total;2018;[PLN]";"quarter 4;total;total;2019;[PLN]";"quarter 4;total;total;2020;[PLN]";"quarter 4;total;total;2021;[PLN]";"quarter 4;total;total;2022;[PLN]";"quarter 4;total;total;2023;[PLN]";"quarter 4;total;total;2024;[PLN]";"quarter 4;total;total;2025;[PLN]";
0000000;"POLAND";4508;4481;4416;4254;4269;4466;4567;4632;4783;4996;5587;6214;6967;7402;8599;;4527;4538;4379;4434;4358;4551;4659;4789;4912;5169;5716;6431;7199;7740;9117;;4515;4523;4352;4338;4516;4581;4753;4915;4979;5277;5689;6390;7289;8124;8939;;4655;4588;4291;4401;4458;4644;4549;4469;5043;5391;5785;6290;7513;8257;9321;;
0200000;"DOLNOŚLĄSKIE";4163;4028;4060;4157;3982;4040;4355;4089;4327;4592;5250;5583;6609;6950;8335;;4045;4252;4062;4891;4070;4187;4267;4494;4399;4866;4928;5931;6727;7401;8743;;4181;4237;4011;4142;4244;4162;4336;4296;4544;4722;4500;6052;7075;7816;8137;;4522;4463;3799;4157;4208;4157;4069;4111;4599;4484;4316;6578;7410;8060;9443;;
0201000;"Powiat bolesławiecki";2711;2701;2513;2433;2618;2538;2621;2504;2429;2934;3778;3862;3795;5154;6057;;2571;2768;2474;2420;2710;2529;2388;2598;2705;3469;3620;3936;4979;5353;6048;;2608;2481;2574;2580;2580;2571;2669;2568;2789;3456;4323;4125;4639;5685;6573;;2613;2703;2335;2636;2345;2621;2523;2794;2792;3287;4183;4311;5862;5995;6316;;
0202000;"Powiat dzierżoniowski";2228;2086;1981;1947;2324;1951;1816;2103;2283;2158;2529;2609;3281;3464;4285;;2212;2316;2074;2117;2045;1874;2064;1969;2158;2251;2393;2942;3147;4174;4262;;2245;2064;2047;1843;2246;1863;1949;2045;2280;2210;2374;3030;3179;4099;4400;;2140;2077;2078;2151;1859;1895;1943;1920;2060;2227;2463;3059;3773;4881;5268;;
0203000;"Powiat głogowski";3198;3140;3129;3234;3114;2981;3013;3145;3491;3451;3666;4013;4484;5140;5322;;3256;2831;2840;2809;3085;3162;2964;3118;3312;3709;3887;4117;4924;4818;5705;;3247;3480;3275;3157;3114;3038;3327;3438;3525;3472;4126;4345;4482;4964;5419;;3173;3121;3014;3070;3056;3052;3316;3338;3644;3608;4107;4635;4489;4955;5442;;
0204000;"Powiat górowski";0;0;0;0;0;2108;0;3146;0;1481;2016;1936;2374;2842;2638;;0;0;0;0;0;2217;0;0;0;1820;1624;1871;2546;2379;2684;;978;0;0;0;0;2268;3138;0;2067;2002;1976;2273;2642;2743;3365;;1386;0;0;0;0;0;0;0;1839;1667;1721;2196;2013;2541;3604;;
0205000;"Powiat jaworski";2346;2402;1968;2330;2027;2156;1861;2062;2285;2424;2950;2689;3294;5592;3907;;2540;2080;2146;2279;2143;2212;2130;2295;2569;2713;3303;3253;3275;4239;3844;;2257;2391;2132;2581;1689;2452;1908;2182;2553;2809;2998;3263;4086;5299;4936;;2490;2536;2371;2031;2104;2255;2115;2236;2612;3098;2989;4227;4896;4237;5207;;
0206000;"Powiat karkonoski";2765;2940;2690;5431;3161;4640;3411;3331;4343;4245;3951;4692;6227;5995;6607;;2841;2272;2402;3324;3624;3719;3334;3802;3304;4271;4442;4851;9676;7310;7506;;2654;2635;2105;3402;2962;3604;4638;2108;2165;3110;4135;4917;10159;8166;6599;;3056;2857;4549;3241;3735;3849;3083;1727;6290;3645;4714;5883;9498;6981;6898;;
0207000;"Powiat kamiennogórski";1849;1813;1588;1646;1466;1497;1502;1768;1565;1823;2313;2563;2705;2943;3261;;1970;1914;2063;1619;1632;1540;1501;1731;1676;1896;2521;2180;3038;2814;3266;;1968;1762;1757;1711;1500;1218;1659;1373;1719;2164;2280;2476;2727;3567;4241;;2051;1972;1666;1529;1397;1481;1393;1653;1619;1845;2117;2584;3231;3206;3623;;
0208000;"Powiat kłodzki";2211;2095;2447;2312;2455;3263;2506;2546;3018;2327;2510;3017;4603;4680;5564;;2337;2202;2000;2813;3630;3027;2172;3485;2808;2795;2721;2986;3851;4475;4994;;2331;2155;1962;2586;2943;2319;2151;3210;3003;2626;2733;3119;4727;4518;4591;;2156;2684;2146;2442;3182;2311;2202;2635;2579;2583;3387;3657;4358;4729;5170;;
0209000;"Powiat legnicki";1706;2020;2193;1911;2175;2045;2263;2046;2445;2218;2532;3261;3487;3575;4851;;1817;1912;1680;0;2205;1949;2237;1944;2495;2539;3184;3110;4036;4171;3980;;1765;1828;1862;2193;2093;2376;2083;1964;2004;1846;2721;3740;4139;4407;4870;;1881;1786;2012;1814;1967;1880;2498;2210;2056;2530;3132;3781;4374;4571;4785;;
0210000;"Powiat lubański";2154;2031;2176;1862;2096;1810;2060;2349;2100;2795;2891;2671;6628;6096;4777;;1922;2018;2161;1904;2215;1963;2187;2082;2267;2686;2558;3436;4019;4209;4426;;2181;1951;2045;1895;2313;2026;2044;2537;2210;2420;2746;3579;3910;4578;4804;;1877;2074;1960;1777;2360;1708;2229;3177;2226;2993;3339;3342;10852;4277;6664;;
0211000;"Powiat lubiński";3398;2947;2965;2909;3111;2958;3105;3065;3445;3669;4307;4415;5113;5067;6164;;3235;3385;3263;2887;2823;2984;3257;3288;3549;3676;4186;4685;5171;5445;5997;;3297;3515;3291;2705;2858;3187;3334;3482;3605;3970;4342;4469;5522;5456;6332;;3088;3267;2846;3360;3319;3053;3393;3642;3829;3839;4369;4873;5108;5868;6841;;
0212000;"Powiat lwówecki";1781;1744;1438;1738;1234;1274;1488;1566;1833;1739;2012;1971;2069;2852;3662;;1774;1656;1560;1572;1859;1339;1737;1827;1817;1655;2273;2028;2790;3323;3276;;1764;1508;1701;1808;1525;1241;1595;1467;1579;1776;1850;2323;2484;3094;3269;;1627;1915;1354;2114;1674;1694;1008;1510;1696;1702;1976;1954;2693;3125;4075;;
0213000;"Powiat milicki";2920;2119;2637;2139;1522;2094;2565;2723;2729;2758;3015;3712;5016;4161;4959;;2513;2537;3130;2335;2011;2484;2552;2102;2686;2311;2822;4327;4198;5341;5193;;2402;2030;2420;1815;2180;1836;1953;2120;2346;2488;4508;3466;4911;5309;4770;;2398;2010;2408;1948;2385;2948;2963;2397;2667;2466;3349;3739;4515;5639;4900;;
0214000;"Powiat oleśnicki";3373;3550;3554;3114;3366;3112;3239;3171;3630;3373;3985;4163;4773;5489;6227;;3297;3693;3465;3028;3235;3278;3158;3425;3177;3465;4059;4153;5138;5816;6273;;3581;3534;3016;2815;3484;3391;3149;3504;3452;3916;4115;4312;5105;5725;6734;;3526;3814;2773;3176;3377;3040;3219;3504;3679;3719;4228;4941;5645;6727;6564;;
0215000;"Powiat oławski";3420;3534;3135;3002;3112;3266;3362;3470;3673;3919;4344;4823;5726;5683;7066;;3539;3677;3389;3288;2738;3085;3163;3608;3758;4161;4402;4963;5455;6252;7092;;0;3723;3032;2993;3117;3196;3380;3664;3953;3602;4529;5076;5894;6099;7018;;3405;3736;3299;3231;3206;2638;3318;3450;3506;3303;3939;5358;5998;6819;7096;;
0216000;"Powiat polkowicki";2434;2335;2364;2494;3169;2736;2746;2709;2918;3122;3294;3188;3540;4238;4277;;2487;2509;2639;2465;2737;2368;2475;2327;3024;3089;3053;3834;3582;3892;5082;;2783;2472;2358;2623;2806;2514;2784;2862;2851;2981;2989;3272;3828;4509;5014;;2682;2544;2568;2600;2679;2805;2376;3426;2960;3624;3238;3636;3789;4339;4967;;
