"Code";"Name";"total;total;total;2021;[person]";"total;total;economically active population;2021;[person]";"total;total;employed;2021;[person]";"total;total;unemployed;2021;[person]";"total;total;economically inactive persons;2021;[person]";"total;total;unidentified status on the labour market;2021;[person]";"total;total;activity rate;2021;[%]";"total;total;employment rate;2021;[%]";"total;total;unemployment rate;2021;[%]";"total;males;total;2021;[person]";"total;males;economically active population;2021;[person]";"total;males;employed;2021;[person]";"total;males;unemployed;2021;[person]";"total;males;economically inactive persons;2021;[person]";"total;males;unidentified status on the labour market;2021;[person]";"total;males;activity rate;2021;[%]";"total;males;employment rate;2021;[%]";"total;males;unemployment rate;2021;[%]";"total;females;total;2021;[person]";"total;females;economically active population;2021;[person]";"total;females;employed;2021;[person]";"total;females;unemployed;2021;[person]";"total;females;economically inactive persons;2021;[person]";"total;females;unidentified status on the labour market;2021;[person]";"total;females;activity rate;2021;[%]";"total;females;employment rate;2021;[%]";"total;females;unemployment rate;2021;[%]";
0201000;"Powiat bolesławiecki";74863;40280;38792;1488;28735;5848;58.4;56.2;3.7;35955;21682;20869;813;11182;3091;66.0;63.5;3.7;38908;18598;17923;675;17553;2757;51.4;49.6;3.6;
0202000;"Powiat dzierżoniowski";84726;41553;39657;1896;34095;9078;54.9;52.4;4.6;39806;22324;21238;1086;12817;4665;63.5;60.4;4.9;44920;19229;18419;810;21278;4413;47.5;45.5;4.2;
0203000;"Powiat głogowski";73213;37825;36209;1616;30649;4739;55.2;52.9;4.3;35218;20657;19946;711;12104;2457;63.1;60.9;3.4;37995;17168;16263;905;18545;2282;48.1;45.5;5.3;
0204000;"Powiat górowski";28309;14860;13765;1095;11769;1680;55.8;51.7;7.4;13973;8408;7834;574;4680;885;64.2;59.9;6.8;14336;6452;5931;521;7089;795;47.6;43.8;8.1;
0205000;"Powiat jaworski";41503;21874;20715;1159;16512;3117;57.0;54.0;5.3;20172;11975;11289;686;6564;1633;64.6;60.9;5.7;21331;9899;9426;473;9948;1484;49.9;47.5;4.8;
0206000;"Powiat karkonoski";53388;27116;25660;1456;21206;5066;56.1;53.1;5.4;25463;14234;13383;851;8585;2644;62.4;58.6;6.0;27925;12882;12277;605;12621;2422;50.5;48.1;4.7;
0207000;"Powiat kamiennogórski";36086;18203;17296;907;14864;3019;55.0;52.3;5.0;17392;9970;9416;554;5813;1609;63.2;59.7;5.6;18694;8233;7880;353;9051;1410;47.6;45.6;4.3;
0208000;"Powiat kłodzki";131867;63714;60022;3692;56397;11756;53.0;50.0;5.8;62517;33795;31623;2172;22589;6133;59.9;56.1;6.4;69350;29919;28399;1520;33808;5623;46.9;44.6;5.1;
0209000;"Powiat legnicki";46147;25378;24235;1143;17959;2810;58.6;55.9;4.5;22416;13878;13220;658;7152;1386;66.0;62.9;4.7;23731;11500;11015;485;10807;1424;51.6;49.4;4.2;
0210000;"Powiat lubański";45535;22991;21746;1245;18803;3741;55.0;52.0;5.4;21850;12436;11710;726;7480;1934;62.4;58.8;5.8;23685;10555;10036;519;11323;1807;48.2;45.9;4.9;
