"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary, primary, primary not completed and without school education;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary, primary, primary not completed and without school education;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary, primary, primary not completed and without school education;2021;[person]";
0201000;"Powiat bolesławiecki";38792;9881;15604;9966;2712;20869;3796;8414;6613;1645;17923;6085;7190;3353;1067;
0202000;"Powiat dzierżoniowski";39657;10204;16804;8663;3253;21238;3837;8992;5807;2137;18419;6367;7812;2856;1116;
0203000;"Powiat głogowski";36209;11926;15055;7129;1688;19946;4777;8697;5093;1086;16263;7149;6358;2036;602;
0204000;"Powiat górowski";13765;2875;5454;4083;1222;7834;1037;3008;2879;826;5931;1838;2446;1204;396;
0205000;"Powiat jaworski";20715;5344;8030;5648;1421;11289;2051;4278;3862;919;9426;3293;3752;1786;502;
0206000;"Powiat karkonoski";25660;7568;10094;5781;1763;13383;2940;5111;3898;1165;12277;4628;4983;1883;598;
0207000;"Powiat kamiennogórski";17296;4077;6450;5326;1242;9416;1440;3348;3624;868;7880;2637;3102;1702;374;
0208000;"Powiat kłodzki";60022;16041;26156;12796;4310;31623;6046;13616;8736;2755;28399;9995;12540;4060;1555;
0209000;"Powiat legnicki";24235;6672;9932;5718;1630;13220;2659;5398;3930;1041;11015;4013;4534;1788;589;
0210000;"Powiat lubański";21746;5452;9199;5519;1298;11710;2084;4836;3759;864;10036;3368;4363;1760;434;
0211000;"Powiat lubiński";44027;15625;17219;8430;2020;23922;6414;9875;5888;1257;20105;9211;7344;2542;763;
0212000;"Powiat lwówecki";17575;4240;7092;4831;1135;9647;1601;3745;3357;763;7928;2639;3347;1474;372;
