"Code";"Name";"total;total;2021;[person]";"total;tertiary;2021;[person]";"total;secondary and post-secondary - total;2021;[person]";"total;secondary and post-secondary - general secondary;2021;[person]";"total;secondary and post-secondary - vocational secondary;2021;[person]";"total;basic vocational/sectoral;2021;[person]";"total;lower secondary;2021;[person]";"total;primary completed;2021;[person]";"total;primary not completed and without school education;2021;[person]";"total;unknown;2021;[person]";"males;total;2021;[person]";"males;tertiary;2021;[person]";"males;secondary and post-secondary - total;2021;[person]";"males;secondary and post-secondary - general secondary;2021;[person]";"males;secondary and post-secondary - vocational secondary;2021;[person]";"males;basic vocational/sectoral;2021;[person]";"males;lower secondary;2021;[person]";"males;primary completed;2021;[person]";"males;primary not completed and without school education;2021;[person]";"males;unknown;2021;[person]";"females;total;2021;[person]";"females;tertiary;2021;[person]";"females;secondary and post-secondary - total;2021;[person]";"females;secondary and post-secondary - general secondary;2021;[person]";"females;secondary and post-secondary - vocational secondary;2021;[person]";"females;basic vocational/sectoral;2021;[person]";"females;lower secondary;2021;[person]";"females;primary completed;2021;[person]";"females;primary not completed and without school education;2021;[person]";"females;unknown;2021;[person]";
0201000;"Powiat bolesławiecki";76739;13420;26886;7994;16114;19575;2207;9772;2344;2535;36913;5069;12655;3114;8749;11332;1222;4126;1128;1381;39826;8351;14231;4880;7365;8243;985;5646;1216;1154;
0202000;"Powiat dzierżoniowski";86543;14680;31483;9645;18302;19891;2415;11947;2518;3609;40719;5554;14435;3734;9592;11080;1380;5258;1168;1844;45824;9126;17048;5911;8710;8811;1035;6689;1350;1765;
0203000;"Powiat głogowski";75191;15725;27891;8358;16723;17123;2175;7877;2423;1977;36199;6070;13254;3157;9294;10086;1263;3251;1176;1099;38992;9655;14637;5201;7429;7037;912;4626;1247;878;
0204000;"Powiat górowski";29042;3962;9693;2563;6148;8087;1091;4556;958;695;14367;1408;4531;972;3233;4902;657;2021;471;377;14675;2554;5162;1591;2915;3185;434;2535;487;318;
0205000;"Powiat jaworski";42493;7222;14572;4547;8554;11316;1224;5524;1299;1336;20689;2722;6641;1717;4495;6795;725;2436;632;738;21804;4500;7931;2830;4059;4521;499;3088;667;598;
0206000;"Powiat karkonoski";54667;10784;19116;6195;10820;13010;1642;6231;1710;2174;26111;4193;8594;2382;5570;7589;930;2803;850;1152;28556;6591;10522;3813;5250;5421;712;3428;860;1022;
0207000;"Powiat kamiennogórski";36913;5690;12066;3972;7228;10939;1043;4848;1116;1211;17830;2034;5533;1605;3615;6334;600;2127;542;660;19083;3656;6533;2367;3613;4605;443;2721;574;551;
0208000;"Powiat kłodzki";134790;23132;50494;16189;28618;31362;3715;17800;3814;4473;64042;8787;22963;6269;14915;18134;2118;7732;1901;2407;70748;14345;27531;9920;13703;13228;1597;10068;1913;2066;
0209000;"Powiat legnicki";47367;8649;16663;4435;10825;11250;1471;6561;1531;1242;23012;3324;7911;1649;5862;6661;877;2886;695;658;24355;5325;8752;2786;4963;4589;594;3675;836;584;
0210000;"Powiat lubański";46595;7635;17323;4894;10854;12092;1363;5321;1349;1512;22404;2917;7883;1885;5533;7015;787;2345;677;780;24191;4718;9440;3009;5321;5077;576;2976;672;732;
0211000;"Powiat lubiński";90704;20526;32444;9819;19163;20148;2298;9965;2624;2699;43328;8099;15296;3729;10649;11718;1317;4092;1326;1480;47376;12427;17148;6090;8514;8430;981;5873;1298;1219;
0212000;"Powiat lwówecki";38811;6037;13531;4600;7558;10778;1138;4845;1156;1326;18874;2285;6136;1782;3941;6356;647;2141;604;705;19937;3752;7395;2818;3617;4422;491;2704;552;621;
0213000;"Powiat milicki";31027;4722;10682;3694;5962;8878;918;4052;1134;641;15250;1732;4861;1468;3132;5385;527;1823;561;361;15777;2990;5821;2226;2830;3493;391;2229;573;280;
0214000;"Powiat oleśnicki";91536;17419;32373;10927;18135;22604;2722;11334;2855;2229;44360;6649;14933;4501;9484;13498;1554;5043;1441;1242;47176;10770;17440;6426;8651;9106;1168;6291;1414;987;
0215000;"Powiat oławski";66642;14309;24456;8415;13154;14649;1804;7439;2015;1970;32169;5529;11391;3572;7014;8829;1019;3258;1040;1103;34473;8780;13065;4843;6140;5820;785;4181;975;867;
0216000;"Powiat polkowicki";52620;8859;17721;5539;10591;14176;1582;6944;1798;1540;25745;3312;8481;2059;5964;8414;886;2922;887;843;26875;5547;9240;3480;4627;5762;696;4022;911;697;
0217000;"Powiat strzeliński";36837;6247;13681;4240;8211;9038;998;4896;1101;876;18010;2229;6653;1789;4493;5470;556;2101;532;469;18827;4018;7028;2451;3718;3568;442;2795;569;407;
0218000;"Powiat średzki";48878;10340;16410;5259;9645;11646;1463;6255;1689;1075;23937;4012;7698;2248;4958;7145;838;2852;807;585;24941;6328;8712;3011;4687;4501;625;3403;882;490;
