"Code";"Name";"total;total;2021;[person]";"total;15-24;2021;[person]";"total;25-34;2021;[person]";"total;35-44;2021;[person]";"total;45-54;2021;[person]";"total;55-64;2021;[person]";"total;65 and more;2021;[person]";"males;total;2021;[person]";"males;15-24;2021;[person]";"males;25-34;2021;[person]";"males;35-44;2021;[person]";"males;45-54;2021;[person]";"males;55-64;2021;[person]";"males;65 and more;2021;[person]";"females;total;2021;[person]";"females;15-24;2021;[person]";"females;25-34;2021;[person]";"females;35-44;2021;[person]";"females;45-54;2021;[person]";"females;55-64;2021;[person]";"females;65 and more;2021;[person]";
0201000;"Powiat bolesławiecki";38792;3268;8658;10510;8577;6316;1463;20869;1837;4646;5564;4325;3634;863;17923;1431;4012;4946;4252;2682;600;
0202000;"Powiat dzierżoniowski";39657;3249;8023;11025;8860;6900;1600;21238;1766;4210;5785;4472;4037;968;18419;1483;3813;5240;4388;2863;632;
0203000;"Powiat głogowski";36209;2678;7711;11170;8054;5261;1335;19946;1491;4286;6148;4248;2969;804;16263;1187;3425;5022;3806;2292;531;
0204000;"Powiat górowski";13765;1385;2859;3567;3157;2337;460;7834;820;1653;1950;1686;1416;309;5931;565;1206;1617;1471;921;151;
0205000;"Powiat jaworski";20715;1600;4232;5719;4596;3768;800;11289;887;2346;3008;2345;2220;483;9426;713;1886;2711;2251;1548;317;
0206000;"Powiat karkonoski";25660;1741;4621;7246;6038;4601;1413;13383;970;2386;3710;3013;2511;793;12277;771;2235;3536;3025;2090;620;
0207000;"Powiat kamiennogórski";17296;1632;3448;4699;3921;3015;581;9416;973;1910;2444;2006;1748;335;7880;659;1538;2255;1915;1267;246;
0208000;"Powiat kłodzki";60022;4417;11934;16800;13547;10555;2769;31623;2439;6358;8847;6670;5787;1522;28399;1978;5576;7953;6877;4768;1247;
0209000;"Powiat legnicki";24235;1913;4950;6972;5508;4063;829;13220;1059;2750;3644;2882;2363;522;11015;854;2200;3328;2626;1700;307;
0210000;"Powiat lubański";21746;1736;4439;6067;5074;3541;889;11710;1004;2386;3153;2607;2033;527;10036;732;2053;2914;2467;1508;362;
0211000;"Powiat lubiński";44027;2996;9580;13188;10089;6419;1755;23922;1608;5233;7174;5227;3572;1108;20105;1388;4347;6014;4862;2847;647;
0212000;"Powiat lwówecki";17575;1404;3747;4834;3850;3102;638;9647;761;2084;2641;1956;1826;379;7928;643;1663;2193;1894;1276;259;
0213000;"Powiat milicki";16174;1756;3487;4431;3509;2419;572;9065;1009;1996;2369;1860;1462;369;7109;747;1491;2062;1649;957;203;
0214000;"Powiat oleśnicki";50426;4642;11304;14278;10910;7549;1743;27253;2554;6014;7560;5648;4371;1106;23173;2088;5290;6718;5262;3178;637;
0215000;"Powiat oławski";36495;2834;7603;10689;8113;5672;1584;19416;1523;4007;5599;4133;3197;957;17079;1311;3596;5090;3980;2475;627;
0216000;"Powiat polkowicki";26442;2464;6064;7522;6092;3645;655;14735;1419;3386;4174;3214;2134;408;11707;1045;2678;3348;2878;1511;247;
0217000;"Powiat strzeliński";18984;1584;4075;5205;4238;3237;645;10439;878;2242;2814;2179;1922;404;8545;706;1833;2391;2059;1315;241;
0218000;"Powiat średzki";28010;2091;6143;8407;6282;4177;910;14990;1110;3249;4364;3254;2429;584;13020;981;2894;4043;3028;1748;326;
0219000;"Powiat świdnicki";66834;4927;13994;18719;15107;11277;2810;35964;2724;7541;9872;7656;6490;1681;30870;2203;6453;8847;7451;4787;1129;
0220000;"Powiat trzebnicki";41088;3430;8547;11752;9358;6400;1601;22207;1927;4592;6178;4782;3741;987;18881;1503;3955;5574;4576;2659;614;
0221000;"Powiat wałbrzyski";21512;1604;4363;6069;4895;3788;793;11623;866;2412;3233;2513;2143;456;9889;738;1951;2836;2382;1645;337;
00223000;"Powiat wrocławski";90479;5096;20715;30843;19785;11183;2857;47214;2789;10219;15824;10261;6353;1768;43265;2307;10496;15019;9524;4830;1089;
0224000;"Powiat ząbkowicki";25917;1982;5394;6935;5921;4670;1015;14101;1126;2987;3619;3030;2727;612;11816;856;2407;3316;2891;1943;403;
0225000;"Powiat zgorzelecki";36330;2806;7120;10052;8608;6329;1415;19268;1495;3809;5221;4393;3511;839;17062;1311;3311;4831;4215;2818;576;
0226000;"Powiat złotoryjski";17456;1516;3526;4823;3805;3102;684;9612;832;1954;2563;2003;1823;437;7844;684;1572;2260;1802;1279;247;
0261000;"City with powiat status Jelenia Góra";32309;1826;6361;8981;6929;5979;2233;16374;917;3282;4566;3314;3092;1203;15935;909;3079;4415;3615;2887;1030;
0262000;"City with powiat status Legnica";40849;2709;8719;11146;9099;7027;2149;21049;1422;4532;5691;4447;3751;1206;19800;1287;4187;5455;4652;3276;943;
0264000;"City with powiat status Wrocław";345939;25239;105413;96892;57215;43147;18033;174387;12367;52430;49928;27945;22029;9688;171552;12872;52983;46964;29270;21118;8345;
0265000;"City with powiat status Wałbrzych since 2013";40714;2769;7879;11566;8756;7720;2024;21375;1482;4213;6139;4338;4116;1087;19339;1287;3666;5427;4418;3604;937;
0401000;"Powiat aleksandrowski";22682;1898;4835;6130;5241;3703;875;12399;1146;2666;3266;2657;2132;532;10283;752;2169;2864;2584;1571;343;
0402000;"Powiat brodnicki";34865;3506;8208;9565;7625;5078;883;19669;2117;4596;5286;3939;3172;559;15196;1389;3612;4279;3686;1906;324;
0403000;"Powiat bydgoski";57876;4208;11794;17203;14347;8476;1848;31343;2411;6298;8902;7484;5032;1216;26533;1797;5496;8301;6863;3444;632;
