"Code";"Name";"total;total;numerical data;2019;[%]";"total;total;numerical data;2020;[%]";"total;total;numerical data;2021;[%]";"total;total;numerical data;2022;[%]";"total;total;numerical data;2023;[%]";"total;total;numerical data;2024;[%]";"total;males;numerical data;2019;[%]";"total;males;numerical data;2020;[%]";"total;males;numerical data;2021;[%]";"total;males;numerical data;2022;[%]";"total;males;numerical data;2023;[%]";"total;males;numerical data;2024;[%]";"total;females;numerical data;2019;[%]";"total;females;numerical data;2020;[%]";"total;females;numerical data;2021;[%]";"total;females;numerical data;2022;[%]";"total;females;numerical data;2023;[%]";"total;females;numerical data;2024;[%]";"15-24;total;numerical data;2019;[%]";"15-24;total;numerical data;2020;[%]";"15-24;total;numerical data;2021;[%]";"15-24;total;numerical data;2022;[%]";"15-24;total;numerical data;2023;[%]";"15-24;total;numerical data;2024;[%]";"15-24;males;numerical data;2019;[%]";"15-24;males;numerical data;2020;[%]";"15-24;males;numerical data;2021;[%]";"15-24;males;numerical data;2022;[%]";"15-24;males;numerical data;2023;[%]";"15-24;males;numerical data;2024;[%]";"15-24;females;numerical data;2019;[%]";"15-24;females;numerical data;2020;[%]";"15-24;females;numerical data;2021;[%]";"15-24;females;numerical data;2022;[%]";"15-24;females;numerical data;2023;[%]";"15-24;females;numerical data;2024;[%]";"15-64;total;numerical data;2019;[%]";"15-64;total;numerical data;2020;[%]";"15-64;total;numerical data;2021;[%]";"15-64;total;numerical data;2022;[%]";"15-64;total;numerical data;2023;[%]";"15-64;total;numerical data;2024;[%]";"15-64;males;numerical data;2019;[%]";"15-64;males;numerical data;2020;[%]";"15-64;males;numerical data;2021;[%]";"15-64;males;numerical data;2022;[%]";"15-64;males;numerical data;2023;[%]";"15-64;males;numerical data;2024;[%]";"15-64;females;numerical data;2019;[%]";"15-64;females;numerical data;2020;[%]";"15-64;females;numerical data;2021;[%]";"15-64;females;numerical data;2022;[%]";"15-64;females;numerical data;2023;[%]";"15-64;females;numerical data;2024;[%]";"20-24;total;numerical data;2019;[%]";"20-24;total;numerical data;2020;[%]";"20-24;total;numerical data;2021;[%]";"20-24;total;numerical data;2022;[%]";"20-24;total;numerical data;2023;[%]";"20-24;total;numerical data;2024;[%]";"20-24;males;numerical data;2019;[%]";"20-24;males;numerical data;2020;[%]";"20-24;males;numerical data;2021;[%]";"20-24;males;numerical data;2022;[%]";"20-24;males;numerical data;2023;[%]";"20-24;males;numerical data;2024;[%]";"20-24;females;numerical data;2019;[%]";"20-24;females;numerical data;2020;[%]";"20-24;females;numerical data;2021;[%]";"20-24;females;numerical data;2022;[%]";"20-24;females;numerical data;2023;[%]";"20-24;females;numerical data;2024;[%]";"20-64;total;numerical data;2019;[%]";"20-64;total;numerical data;2020;[%]";"20-64;total;numerical data;2021;[%]";"20-64;total;numerical data;2022;[%]";"20-64;total;numerical data;2023;[%]";"20-64;total;numerical data;2024;[%]";"20-64;males;numerical data;2019;[%]";"20-64;males;numerical data;2020;[%]";"20-64;males;numerical data;2021;[%]";"20-64;males;numerical data;2022;[%]";"20-64;males;numerical data;2023;[%]";"20-64;males;numerical data;2024;[%]";"20-64;females;numerical data;2019;[%]";"20-64;females;numerical data;2020;[%]";"20-64;females;numerical data;2021;[%]";"20-64;females;numerical data;2022;[%]";"20-64;females;numerical data;2023;[%]";"20-64;females;numerical data;2024;[%]";"55-64;total;numerical data;2019;[%]";"55-64;total;numerical data;2020;[%]";"55-64;total;numerical data;2021;[%]";"55-64;total;numerical data;2022;[%]";"55-64;total;numerical data;2023;[%]";"55-64;total;numerical data;2024;[%]";"55-64;males;numerical data;2019;[%]";"55-64;males;numerical data;2020;[%]";"55-64;males;numerical data;2021;[%]";"55-64;males;numerical data;2022;[%]";"55-64;males;numerical data;2023;[%]";"55-64;males;numerical data;2024;[%]";"55-64;females;numerical data;2019;[%]";"55-64;females;numerical data;2020;[%]";"55-64;females;numerical data;2021;[%]";"55-64;females;numerical data;2022;[%]";"55-64;females;numerical data;2023;[%]";"55-64;females;numerical data;2024;[%]";"18-59/64;total;numerical data;2019;[%]";"18-59/64;total;numerical data;2020;[%]";"18-59/64;total;numerical data;2021;[%]";"18-59/64;total;numerical data;2022;[%]";"18-59/64;total;numerical data;2023;[%]";"18-59/64;total;numerical data;2024;[%]";"18-59/64;males;numerical data;2019;[%]";"18-59/64;males;numerical data;2020;[%]";"18-59/64;males;numerical data;2021;[%]";"18-59/64;males;numerical data;2022;[%]";"18-59/64;males;numerical data;2023;[%]";"18-59/64;males;numerical data;2024;[%]";"18-59/64;females;numerical data;2019;[%]";"18-59/64;females;numerical data;2020;[%]";"18-59/64;females;numerical data;2021;[%]";"18-59/64;females;numerical data;2022;[%]";"18-59/64;females;numerical data;2023;[%]";"18-59/64;females;numerical data;2024;[%]";"50-89;total;numerical data;2019;[%]";"50-89;total;numerical data;2020;[%]";"50-89;total;numerical data;2021;[%]";"50-89;total;numerical data;2022;[%]";"50-89;total;numerical data;2023;[%]";"50-89;total;numerical data;2024;[%]";"50-89;males;numerical data;2019;[%]";"50-89;males;numerical data;2020;[%]";"50-89;males;numerical data;2021;[%]";"50-89;males;numerical data;2022;[%]";"50-89;males;numerical data;2023;[%]";"50-89;males;numerical data;2024;[%]";"50-89;females;numerical data;2019;[%]";"50-89;females;numerical data;2020;[%]";"50-89;females;numerical data;2021;[%]";"50-89;females;numerical data;2022;[%]";"50-89;females;numerical data;2023;[%]";"50-89;females;numerical data;2024;[%]";
0200000;"DOLNOŚLĄSKIE";58.5;58.2;59.4;59.3;60.0;60.2;66.3;66.1;67.9;67.5;67.1;67.1;51.4;51.0;51.5;51.8;53.4;53.8;37.2;34.9;31.6;36.7;38.9;38.6;40.6;35.1;34.6;36.8;37.9;38.4;33.6;33.9;28.5;36.7;40.0;38.8;73.1;73.1;74.7;75.1;76.7;77.7;78.9;79.0;81.3;81.4;81.9;82.5;67.3;67.3;68.1;68.9;71.5;72.8;62.1;59.9;60.0;62.8;71.8;68.3;67.1;61.1;65.1;64.1;65.6;66.7;56.3;58.6;54.8;61.5;77.2;70.2;77.6;77.8;80.0;79.7;81.8;82.8;83.8;84.0;87.1;86.6;87.1;88.0;71.4;71.5;72.9;72.8;76.5;77.7;51.2;53.0;56.5;56.2;59.3;59.8;61.5;64.2;69.8;72.5;72.8;71.4;41.7;43.0;44.2;42.9;48.7;49.7;79.3;79.1;81.6;81.9;83.7;84.5;81.9;82.0;85.1;84.8;85.5;86.5;76.5;75.8;77.8;78.5;81.6;82.2;33.6;33.7;35.2;35.7;36.3;35.1;43.1;43.2;45.4;45.9;45.2;43.6;26.1;26.3;27.0;27.7;29.5;28.3;
0400000;"KUJAWSKO-POMORSKIE";55.7;55.4;57.7;58.4;58.1;58.6;64.8;64.2;66.0;66.2;65.4;66.1;47.2;47.2;49.9;51.1;51.4;51.7;37.4;32.5;30.9;30.7;27.9;35.6;41.0;36.0;32.7;34.0;28.9;39.8;33.7;28.7;30.1;27.2;27.2;31.2;69.3;69.1;72.7;73.9;74.3;75.5;77.2;76.9;79.4;80.1;79.7;81.0;61.3;61.3;65.8;67.7;69.1;69.9;64.7;55.4;57.4;59.3;55.6;65.2;69.8;63.5;59.6;67.4;63.9;73.9;56.0;46.9;53.2;50.0;48.9;59.5;74.1;73.9;78.2;80.0;80.9;81.5;82.7;82.5;85.9;87.2;87.6;87.5;65.4;65.3;70.6;72.6;74.4;75.6;48.0;47.4;55.1;57.3;58.9;61.7;60.8;61.7;69.9;73.5;77.0;76.1;36.4;34.5;41.2;42.7;43.0;47.5;76.0;75.6;79.5;81.4;82.0;82.6;80.6;80.1;83.1;84.2;84.0;84.8;70.7;70.4;75.3;78.2;79.7;80.2;32.8;32.7;36.1;36.9;37.3;37.8;42.4;42.6;46.3;47.3;48.1;47.6;25.1;24.8;27.9;28.2;28.6;29.9;
0600000;"LUBELSKIE";53.4;53.8;56.4;57.1;56.5;56.3;61.3;61.7;64.2;64.8;63.8;63.6;46.1;46.6;49.1;50.1;49.6;49.6;30.7;28.4;29.4;31.2;31.8;31.8;34.9;33.3;35.0;37.3;38.6;34.7;26.3;23.2;23.5;24.7;25.0;28.9;67.4;68.2;71.5;73.0;73.1;73.3;73.4;74.2;77.0;78.3;78.2;78.3;61.2;62.1;65.8;67.5;67.8;68.2;54.2;51.4;52.0;57.4;61.3;60.0;61.8;58.2;59.3;64.3;76.1;70.5;46.2;44.2;44.7;48.9;47.8;51.0;72.5;73.6;77.0;78.8;79.4;79.5;79.0;80.1;82.7;84.2;85.1;85.6;65.9;67.1;71.0;73.5;73.3;73.5;47.1;51.3;56.7;59.3;60.2;61.5;56.5;61.5;68.3;70.0;72.4;72.9;38.5;41.5;46.8;49.2;48.4;51.5;73.9;75.0;78.3;79.7;80.0;80.2;76.7;77.7;80.7;82.4;82.8;82.9;70.7;72.0;75.2;76.9;76.7;77.1;32.6;34.0;35.7;36.7;35.2;35.9;40.0;41.9;44.9;45.3;43.6;44.2;26.5;27.7;28.3;29.5;28.5;29.1;
0800000;"LUBUSKIE";55.6;55.8;56.0;56.7;57.7;56.6;64.6;64.9;64.6;65.9;66.6;65.3;47.1;47.0;47.7;48.2;49.4;48.5;31.2;29.3;27.5;26.4;27.2;31.2;35.4;36.2;31.9;29.8;36.2;36.2;26.7;22.2;22.7;22.7;0.0;24.4;69.0;69.7;70.1;71.3;73.3;72.8;76.3;77.4;77.7;79.0;80.7;79.9;61.6;61.8;62.5;63.8;65.8;65.7;55.1;52.1;50.0;52.3;53.5;62.5;64.0;64.0;58.3;59.1;65.2;76.2;47.8;0.0;41.7;45.5;0.0;0.0;73.6;74.4;75.0;77.1;79.4;79.2;81.9;82.8;83.2;85.3;86.9;87.0;65.6;66.1;66.8;68.4;71.7;71.2;50.0;53.0;52.7;56.3;60.0;61.6;63.1;67.2;68.9;70.5;74.1;73.7;38.0;38.6;38.2;41.8;46.8;47.3;75.3;76.1;76.9;78.3;80.6;79.9;79.5;80.7;80.7;83.1;84.9;84.9;70.3;70.6;72.0;73.1;75.6;74.1;33.6;33.9;33.8;35.9;37.3;36.4;43.2;44.4;44.1;46.3;46.3;45.9;25.9;25.4;25.5;27.4;29.6;28.2;
1000000;"ŁÓDZKIE";55.4;56.0;57.9;59.1;58.4;56.9;64.2;65.3;65.9;67.5;66.4;64.7;47.5;47.9;50.7;51.8;51.2;49.9;34.5;33.0;33.2;35.8;39.5;33.8;39.1;36.8;33.0;36.4;41.8;37.8;29.6;29.0;33.0;35.6;36.5;29.5;70.9;72.0;74.2;76.0;76.0;74.4;77.6;78.8;80.2;81.7;81.3;79.6;64.2;65.4;68.4;70.4;70.9;69.1;59.3;59.8;58.3;64.3;66.9;65.7;65.6;66.7;59.3;62.9;70.0;70.4;52.6;52.6;57.1;69.2;63.2;60.4;75.6;77.1;79.2;81.3;81.0;80.4;83.0;84.4;85.9;87.2;86.6;86.0;68.4;69.9;72.8;75.4;75.5;74.8;49.7;54.4;57.4;60.3;60.0;62.0;64.3;69.7;74.6;77.0;73.8;73.6;37.1;40.6;43.1;46.0;47.1;51.3;78.0;79.2;81.4;83.5;82.8;81.8;81.0;82.1;83.4;85.0;85.0;84.0;74.6;75.8;78.9;81.7;80.2;79.2;32.3;33.4;35.5;37.1;35.9;36.7;42.5;45.5;45.8;48.7;46.2;45.7;24.8;24.6;27.9;28.5;27.9;29.6;
1200000;"MAŁOPOLSKIE";55.1;55.0;57.3;57.0;57.6;58.3;63.4;63.5;65.3;65.1;64.2;64.7;47.4;47.2;49.7;49.4;51.4;52.4;36.3;31.5;27.5;29.1;29.9;32.5;38.8;36.9;33.7;35.5;32.1;35.5;33.7;25.9;21.1;22.7;27.0;28.8;67.9;67.8;70.6;70.4;71.8;73.2;74.9;75.1;77.3;77.5;77.2;78.1;60.8;60.4;63.9;63.4;66.4;68.1;61.7;52.7;50.0;51.5;53.6;54.6;65.3;62.8;61.0;60.9;57.0;56.7;58.1;43.5;39.5;41.2;48.8;52.9;72.8;72.7;76.2;75.8;77.3;78.4;80.4;80.7;83.6;83.1;83.1;83.3;65.2;64.7;69.0;68.4;71.5;73.3;45.5;49.1;52.6;52.5;55.1;56.7;56.1;58.5;64.5;64.4;64.7;66.1;36.2;40.8;41.7;41.9;45.6;47.4;74.0;73.4;77.0;76.7;78.3;79.1;78.4;78.5;81.3;81.1;81.1;80.9;69.0;67.7;72.1;71.9;75.1;77.2;31.1;32.8;35.1;33.7;34.8;35.7;39.3;40.2;43.6;41.5;41.9;43.4;24.5;26.7;28.1;27.5;28.8;29.5;
1400000;"MAZOWIECKIE";60.9;60.7;62.6;63.0;63.5;63.8;68.3;68.4;70.2;69.9;69.6;69.6;54.1;53.8;55.8;56.8;57.9;58.5;35.5;33.0;33.9;33.1;32.5;34.3;37.6;37.3;37.5;35.4;35.1;35.6;33.2;28.5;30.2;30.4;30.3;32.9;74.7;74.7;77.2;78.1;78.9;79.3;80.1;80.4;82.9;82.9;82.8;82.9;69.4;68.9;71.6;73.5;75.2;75.7;62.5;58.4;57.6;59.8;60.3;62.3;66.7;67.6;62.4;66.4;65.4;65.9;58.9;49.6;52.1;53.3;54.5;59.4;80.0;80.0;82.2;83.8;84.8;85.3;86.0;86.5;88.3;89.4;89.3;89.5;74.1;73.6;76.3;78.4;80.5;81.1;58.6;60.8;63.8;66.2;68.1;68.4;71.0;72.2;77.2;78.7;78.5;79.3;47.7;50.7;52.2;54.7;58.7;59.0;81.0;80.6;83.3;84.6;85.2;85.4;83.7;84.0;86.5;87.3;87.1;87.4;77.9;76.8;79.9;81.6;83.2;83.4;37.6;38.2;40.5;40.5;40.6;41.5;46.8;46.9;49.9;50.1;49.2;49.7;30.3;31.4;33.1;32.9;33.9;35.2;
1600000;"OPOLSKIE";55.9;56.0;58.9;57.6;57.5;57.5;66.0;66.2;67.8;65.7;65.6;66.2;46.6;46.8;50.5;50.0;50.0;49.5;36.5;33.3;33.7;29.6;34.6;30.9;43.2;39.5;35.7;33.3;36.6;36.6;31.7;26.8;32.5;25.0;33.3;25.6;70.8;71.3;74.9;73.3;73.8;74.5;79.5;79.7;82.0;79.3;80.1;81.6;62.1;62.5;67.5;66.9;67.5;67.0;57.8;53.3;62.5;50.0;64.1;62.9;69.6;65.2;68.4;63.2;65.0;70.0;50.0;0.0;52.4;0.0;63.2;0.0;75.0;75.4;80.1;78.3;78.9;80.4;84.3;84.6;88.2;85.4;85.6;87.7;65.6;66.1;72.1;71.3;71.9;73.2;52.3;55.0;59.8;57.4;57.9;56.9;68.8;68.8;75.9;71.2;74.1;78.6;38.2;41.2;45.3;43.8;41.3;38.3;77.3;77.5;82.1;80.6;81.2;83.0;82.4;83.0;86.1;83.3;83.8;85.8;71.3;71.2;77.6;77.7;78.2;79.7;33.7;34.8;37.4;36.4;37.2;36.6;44.5;45.7;48.4;47.2;48.1;47.9;24.9;25.9;28.8;28.1;28.7;27.6;
1800000;"PODKARPACKIE";51.3;51.6;52.8;52.7;53.7;53.1;60.0;60.5;62.7;61.1;61.4;61.2;43.2;43.2;43.5;44.9;46.4;45.4;27.8;24.2;23.1;24.4;27.8;22.4;34.9;29.4;29.0;28.3;30.5;26.7;21.6;17.6;16.8;20.0;0.0;19.0;64.0;64.4;66.2;66.6;68.5;68.4;71.5;72.2;75.1;73.8;75.1;75.4;56.1;56.5;57.0;59.2;61.9;61.1;50.9;43.6;44.3;44.8;46.4;44.4;63.2;52.6;61.2;50.9;47.5;51.0;39.6;34.0;29.8;36.0;0.0;37.5;69.2;69.7;71.8;72.0;73.6;74.5;77.5;78.1;82.3;79.8;80.3;82.1;60.8;61.1;61.1;64.1;66.7;66.6;44.9;47.1;50.0;51.2;53.5;55.8;56.6;59.4;63.8;64.8;63.8;69.1;33.8;36.3;36.8;39.4;43.4;42.2;70.2;70.6;72.5;72.7;74.6;75.6;75.1;75.6;78.9;77.0;78.3;80.0;64.4;64.7;65.0;67.8;70.6;70.6;29.8;31.2;33.2;32.9;33.2;33.2;38.2;40.5;43.9;42.3;40.9;42.0;22.8;23.6;24.3;25.1;26.7;25.9;
2000000;"PODLASKIE";55.5;55.7;57.9;58.5;58.6;57.2;63.8;64.0;65.5;66.1;66.2;65.0;47.7;48.0;50.6;51.4;51.2;49.8;31.5;30.0;26.9;29.2;24.5;25.5;35.1;35.1;30.4;36.4;33.3;31.5;27.8;25.9;22.6;21.2;15.4;19.2;69.6;69.6;72.9;74.2;74.5;73.2;76.2;76.4;78.6;79.7;80.0;79.2;62.8;62.9;67.0;68.3;68.7;67.5;57.6;52.5;47.3;50.0;48.1;49.0;61.3;63.3;53.6;65.5;60.7;57.7;53.6;46.4;40.7;35.7;32.0;0.0;74.9;74.8;78.4;79.5;80.3;79.6;82.0;82.0;84.3;85.4;86.4;85.5;67.6;67.4;72.1;73.4;74.1;73.5;50.0;52.3;60.1;60.6;64.8;64.0;61.3;64.0;73.0;73.9;78.6;76.5;39.5;42.5;47.3;47.9;52.8;50.7;76.1;76.2;79.4;80.6;80.8;79.9;79.5;79.7;82.0;83.2;84.1;83.0;72.1;72.1;76.1;77.3;77.1;76.5;34.3;35.4;38.0;38.0;39.6;38.5;42.9;43.7;47.4;47.6;48.7;47.6;27.2;28.6;30.7;30.0;32.2;31.5;
