"Code";"Name";"total;total;numerical data;2010;[%]";"total;total;numerical data;2011;[%]";"total;total;numerical data;2012;[%]";"total;total;numerical data;2013;[%]";"total;total;numerical data;2014;[%]";"total;total;numerical data;2015;[%]";"total;total;numerical data;2016;[%]";"total;total;numerical data;2017;[%]";"total;total;numerical data;2018;[%]";"total;total;numerical data;2019;[%]";"total;total;numerical data;2020;[%]";"total;total;numerical data;2021;[%]";"total;total;numerical data;2022;[%]";"total;total;numerical data;2023;[%]";"total;total;numerical data;2024;[%]";"15-29;total;numerical data;2010;[%]";"15-29;total;numerical data;2011;[%]";"15-29;total;numerical data;2012;[%]";"15-29;total;numerical data;2013;[%]";"15-29;total;numerical data;2014;[%]";"15-29;total;numerical data;2015;[%]";"15-29;total;numerical data;2016;[%]";"15-29;total;numerical data;2017;[%]";"15-29;total;numerical data;2018;[%]";"15-29;total;numerical data;2019;[%]";"15-29;total;numerical data;2020;[%]";"15-29;total;numerical data;2021;[%]";"15-29;total;numerical data;2022;[%]";"15-29;total;numerical data;2023;[%]";"15-29;total;numerical data;2024;[%]";"30-39;total;numerical data;2010;[%]";"30-39;total;numerical data;2011;[%]";"30-39;total;numerical data;2012;[%]";"30-39;total;numerical data;2013;[%]";"30-39;total;numerical data;2014;[%]";"30-39;total;numerical data;2015;[%]";"30-39;total;numerical data;2016;[%]";"30-39;total;numerical data;2017;[%]";"30-39;total;numerical data;2018;[%]";"30-39;total;numerical data;2019;[%]";"30-39;total;numerical data;2020;[%]";"30-39;total;numerical data;2021;[%]";"30-39;total;numerical data;2022;[%]";"30-39;total;numerical data;2023;[%]";"30-39;total;numerical data;2024;[%]";"40-49;total;numerical data;2010;[%]";"40-49;total;numerical data;2011;[%]";"40-49;total;numerical data;2012;[%]";"40-49;total;numerical data;2013;[%]";"40-49;total;numerical data;2014;[%]";"40-49;total;numerical data;2015;[%]";"40-49;total;numerical data;2016;[%]";"40-49;total;numerical data;2017;[%]";"40-49;total;numerical data;2018;[%]";"40-49;total;numerical data;2019;[%]";"40-49;total;numerical data;2020;[%]";"40-49;total;numerical data;2021;[%]";"40-49;total;numerical data;2022;[%]";"40-49;total;numerical data;2023;[%]";"40-49;total;numerical data;2024;[%]";"50-89;total;numerical data;2010;[%]";"50-89;total;numerical data;2011;[%]";"50-89;total;numerical data;2012;[%]";"50-89;total;numerical data;2013;[%]";"50-89;total;numerical data;2014;[%]";"50-89;total;numerical data;2015;[%]";"50-89;total;numerical data;2016;[%]";"50-89;total;numerical data;2017;[%]";"50-89;total;numerical data;2018;[%]";"50-89;total;numerical data;2019;[%]";"50-89;total;numerical data;2020;[%]";"50-89;total;numerical data;2021;[%]";"50-89;total;numerical data;2022;[%]";"50-89;total;numerical data;2023;[%]";"50-89;total;numerical data;2024;[%]";"15-24;total;numerical data;2010;[%]";"15-24;total;numerical data;2011;[%]";"15-24;total;numerical data;2012;[%]";"15-24;total;numerical data;2013;[%]";"15-24;total;numerical data;2014;[%]";"15-24;total;numerical data;2015;[%]";"15-24;total;numerical data;2016;[%]";"15-24;total;numerical data;2017;[%]";"15-24;total;numerical data;2018;[%]";"15-24;total;numerical data;2019;[%]";"15-24;total;numerical data;2020;[%]";"15-24;total;numerical data;2021;[%]";"15-24;total;numerical data;2022;[%]";"15-24;total;numerical data;2023;[%]";"15-24;total;numerical data;2024;[%]";"25-54;total;numerical data;2010;[%]";"25-54;total;numerical data;2011;[%]";"25-54;total;numerical data;2012;[%]";"25-54;total;numerical data;2013;[%]";"25-54;total;numerical data;2014;[%]";"25-54;total;numerical data;2015;[%]";"25-54;total;numerical data;2016;[%]";"25-54;total;numerical data;2017;[%]";"25-54;total;numerical data;2018;[%]";"25-54;total;numerical data;2019;[%]";"25-54;total;numerical data;2020;[%]";"25-54;total;numerical data;2021;[%]";"25-54;total;numerical data;2022;[%]";"25-54;total;numerical data;2023;[%]";"25-54;total;numerical data;2024;[%]";"55-64;total;numerical data;2010;[%]";"55-64;total;numerical data;2011;[%]";"55-64;total;numerical data;2012;[%]";"55-64;total;numerical data;2013;[%]";"55-64;total;numerical data;2014;[%]";"55-64;total;numerical data;2015;[%]";"55-64;total;numerical data;2016;[%]";"55-64;total;numerical data;2017;[%]";"55-64;total;numerical data;2018;[%]";"55-64;total;numerical data;2019;[%]";"55-64;total;numerical data;2020;[%]";"55-64;total;numerical data;2021;[%]";"55-64;total;numerical data;2022;[%]";"55-64;total;numerical data;2023;[%]";"55-64;total;numerical data;2024;[%]";"20-24;total;numerical data;2010;[%]";"20-24;total;numerical data;2011;[%]";"20-24;total;numerical data;2012;[%]";"20-24;total;numerical data;2013;[%]";"20-24;total;numerical data;2014;[%]";"20-24;total;numerical data;2015;[%]";"20-24;total;numerical data;2016;[%]";"20-24;total;numerical data;2017;[%]";"20-24;total;numerical data;2018;[%]";"20-24;total;numerical data;2019;[%]";"20-24;total;numerical data;2020;[%]";"20-24;total;numerical data;2021;[%]";"20-24;total;numerical data;2022;[%]";"20-24;total;numerical data;2023;[%]";"20-24;total;numerical data;2024;[%]";"15-64;total;numerical data;2010;[%]";"15-64;total;numerical data;2011;[%]";"15-64;total;numerical data;2012;[%]";"15-64;total;numerical data;2013;[%]";"15-64;total;numerical data;2014;[%]";"15-64;total;numerical data;2015;[%]";"15-64;total;numerical data;2016;[%]";"15-64;total;numerical data;2017;[%]";"15-64;total;numerical data;2018;[%]";"15-64;total;numerical data;2019;[%]";"15-64;total;numerical data;2020;[%]";"15-64;total;numerical data;2021;[%]";"15-64;total;numerical data;2022;[%]";"15-64;total;numerical data;2023;[%]";"15-64;total;numerical data;2024;[%]";"20-64;total;numerical data;2010;[%]";"20-64;total;numerical data;2011;[%]";"20-64;total;numerical data;2012;[%]";"20-64;total;numerical data;2013;[%]";"20-64;total;numerical data;2014;[%]";"20-64;total;numerical data;2015;[%]";"20-64;total;numerical data;2016;[%]";"20-64;total;numerical data;2017;[%]";"20-64;total;numerical data;2018;[%]";"20-64;total;numerical data;2019;[%]";"20-64;total;numerical data;2020;[%]";"20-64;total;numerical data;2021;[%]";"20-64;total;numerical data;2022;[%]";"20-64;total;numerical data;2023;[%]";"20-64;total;numerical data;2024;[%]";"18-59/64;total;numerical data;2010;[%]";"18-59/64;total;numerical data;2011;[%]";"18-59/64;total;numerical data;2012;[%]";"18-59/64;total;numerical data;2013;[%]";"18-59/64;total;numerical data;2014;[%]";"18-59/64;total;numerical data;2015;[%]";"18-59/64;total;numerical data;2016;[%]";"18-59/64;total;numerical data;2017;[%]";"18-59/64;total;numerical data;2018;[%]";"18-59/64;total;numerical data;2019;[%]";"18-59/64;total;numerical data;2020;[%]";"18-59/64;total;numerical data;2021;[%]";"18-59/64;total;numerical data;2022;[%]";"18-59/64;total;numerical data;2023;[%]";"18-59/64;total;numerical data;2024;[%]";"60-89;total;numerical data;2010;[%]";"60-89;total;numerical data;2011;[%]";"60-89;total;numerical data;2012;[%]";"60-89;total;numerical data;2013;[%]";"60-89;total;numerical data;2014;[%]";"60-89;total;numerical data;2015;[%]";"60-89;total;numerical data;2016;[%]";"60-89;total;numerical data;2017;[%]";"60-89;total;numerical data;2018;[%]";"60-89;total;numerical data;2019;[%]";"60-89;total;numerical data;2020;[%]";"60-89;total;numerical data;2021;[%]";"60-89;total;numerical data;2022;[%]";"60-89;total;numerical data;2023;[%]";"60-89;total;numerical data;2024;[%]";
0200000;"DOLNOŚLĄSKIE";;;;;;;;;;56.6;56.4;57.0;57.2;58.2;58.2;;;;;;;;;;55.2;51.6;50.4;49.1;53.3;53.0;;;;;;;;;;87.3;88.8;88.1;88.1;87.6;88.3;;;;;;;;;;85.7;86.2;87.6;87.7;89.5;90.5;28.6;29.0;30.2;29.5;30.0;31.4;32.6;32.7;32.7;32.6;32.9;34.1;34.9;35.5;34.2;28.6;25.5;23.2;22.6;25.5;27.1;29.5;28.5;31.9;33.7;31.8;27.2;30.6;34.8;34.1;;;;;;;;;;85.4;85.2;86.4;85.9;86.9;87.9;;;;;;;;;;49.6;51.2;54.6;55.3;57.8;57.6;;;;;;;;;;56.6;54.9;52.0;51.9;65.0;61.7;;;;;;;;;;70.7;70.7;71.6;72.4;74.3;75.0;;;;;;;;;;75.1;75.2;76.7;76.9;79.4;80.2;62.5;63.0;63.3;63.9;67.0;69.2;71.5;72.2;73.9;76.6;76.5;78.2;78.9;81.1;81.6;;;;;;;;;;15.5;16.4;17.5;17.5;17.2;14.5;
0400000;"KUJAWSKO-POMORSKIE";;;;;;;;;;53.5;53.7;55.1;56.1;55.9;56.2;;;;;;;;;;49.8;47.6;44.0;45.1;43.4;47.9;;;;;;;;;;81.8;84.7;85.3;88.0;88.7;85.3;;;;;;;;;;84.6;84.7;87.4;88.0;88.6;87.5;27.5;28.4;30.3;30.3;30.8;31.4;31.7;31.9;32.7;31.7;31.9;34.9;35.8;36.1;36.8;26.9;22.9;24.3;24.1;26.5;28.5;29.1;30.7;31.1;32.8;29.4;26.2;25.9;23.2;30.9;;;;;;;;;;81.3;82.6;84.5;86.2;87.3;86.0;;;;;;;;;;46.2;46.7;53.1;56.0;57.3;60.0;;;;;;;;;;57.8;50.5;47.9;50.0;46.9;56.2;;;;;;;;;;66.5;66.9;69.4;70.9;71.5;72.2;;;;;;;;;;71.2;71.7;74.7;76.8;77.8;78.1;61.4;62.0;63.0;62.7;64.3;66.5;68.0;69.3;71.6;72.9;73.2;75.7;78.2;78.7;79.1;;;;;;;;;;13.1;13.4;15.0;14.7;14.0;14.2;
0600000;"LUBELSKIE";;;;;;;;;;50.4;50.8;53.4;54.4;54.3;54.5;;;;;;;;;;43.1;40.4;43.4;46.0;46.6;45.5;;;;;;;;;;78.9;81.1;83.0;82.7;85.9;87.8;;;;;;;;;;82.3;81.7;85.2;87.2;85.5;85.9;29.2;30.0;30.3;30.7;31.8;32.7;31.1;31.5;31.6;31.4;32.7;34.7;35.9;34.6;35.0;20.9;20.9;21.2;20.1;19.0;18.6;24.8;24.8;27.0;25.4;22.5;23.9;26.6;27.3;27.8;;;;;;;;;;79.6;79.9;82.6;83.5;84.6;85.7;;;;;;;;;;44.9;49.4;55.2;58.5;58.6;59.9;;;;;;;;;;44.9;41.1;43.1;49.5;52.7;52.6;;;;;;;;;;63.6;64.2;67.6;69.4;70.1;70.8;;;;;;;;;;68.6;69.3;73.0;75.1;76.3;76.9;61.1;62.0;62.9;62.9;64.8;65.5;66.3;67.5;69.8;69.8;70.6;74.0;75.7;76.7;77.5;;;;;;;;;;11.9;12.4;15.3;14.9;14.6;14.5;
0800000;"LUBUSKIE";;;;;;;;;;54.5;54.5;54.9;55.8;56.7;55.6;;;;;;;;;;47.7;47.0;46.9;46.5;46.1;45.4;;;;;;;;;;83.4;84.6;84.5;84.5;88.2;86.5;;;;;;;;;;84.7;84.1;86.9;87.1;86.6;86.5;29.6;29.0;29.2;30.8;31.5;32.8;34.4;33.5;33.1;33.3;33.3;33.2;35.3;37.1;35.8;26.9;22.8;23.1;22.5;20.8;23.0;28.3;29.7;30.9;29.0;27.2;26.4;25.3;25.0;29.0;;;;;;;;;;82.4;82.8;83.6;85.6;86.6;84.6;;;;;;;;;;49.3;51.5;51.9;55.5;60.0;60.7;;;;;;;;;;51.0;47.9;45.8;47.7;48.8;57.5;;;;;;;;;;67.6;68.1;68.7;70.2;72.0;71.5;;;;;;;;;;72.3;72.8;73.6;75.8;78.0;77.9;62.3;62.9;62.5;63.2;64.9;67.5;69.8;71.4;72.3;73.7;74.5;75.3;76.9;79.1;78.5;;;;;;;;;;15.0;15.3;15.3;16.4;17.0;16.3;
1000000;"ŁÓDZKIE";;;;;;;;;;53.3;54.3;55.3;57.1;56.1;55.0;;;;;;;;;;49.2;48.9;47.0;51.8;51.7;47.4;;;;;;;;;;83.9;84.1;85.0;89.1;87.2;86.0;;;;;;;;;;86.4;87.9;87.6;86.6;88.2;86.0;27.9;29.3;29.6;30.9;32.4;31.5;31.9;33.7;33.3;31.5;33.0;34.3;36.1;34.9;36.1;28.2;25.6;22.8;26.1;29.2;27.2;31.3;32.9;33.5;30.5;30.8;28.1;31.6;34.0;29.6;;;;;;;;;;83.6;84.1;85.2;87.5;86.6;85.1;;;;;;;;;;47.9;53.5;55.1;58.3;58.0;60.3;;;;;;;;;;53.4;54.7;50.4;57.4;57.6;57.8;;;;;;;;;;68.2;69.8;70.8;73.4;73.1;71.7;;;;;;;;;;72.8;74.6;75.7;78.5;77.9;77.6;64.9;65.8;65.0;65.5;68.3;68.7;71.6;74.3;75.8;75.0;76.6;77.6;80.5;79.5;78.8;;;;;;;;;;12.5;13.5;14.9;17.1;14.8;15.8;
1200000;"MAŁOPOLSKIE";;;;;;;;;;53.5;53.5;55.4;55.6;56.2;56.9;;;;;;;;;;51.3;48.0;45.9;48.3;49.9;50.3;;;;;;;;;;83.2;82.9;84.9;85.0;86.8;88.6;;;;;;;;;;79.6;80.3;84.4;84.2;85.5;85.5;24.1;25.1;25.9;26.3;27.4;28.9;29.3;30.9;30.4;30.6;32.2;34.1;33.1;34.3;35.0;24.7;23.9;23.3;22.6;24.8;24.8;25.8;23.4;29.5;32.9;29.2;23.7;26.7;26.6;29.2;;;;;;;;;;80.1;80.1;83.6;83.2;84.5;85.5;;;;;;;;;;45.0;48.2;51.3;52.0;54.4;55.6;;;;;;;;;;56.4;48.9;43.5;48.0;48.2;50.3;;;;;;;;;;65.8;65.9;68.3;68.7;70.1;71.3;;;;;;;;;;70.7;70.7;73.8;74.0;75.5;76.4;59.2;59.9;59.8;60.6;62.5;63.8;66.8;68.2;70.0;71.7;71.3;74.4;74.8;76.4;77.1;;;;;;;;;;11.9;13.6;13.9;13.2;13.5;14.4;
1400000;"MAZOWIECKIE";;;;;;;;;;59.0;58.6;60.9;61.4;62.0;61.9;;;;;;;;;;53.7;50.6;51.2;51.8;52.3;51.7;;;;;;;;;;85.4;85.9;88.4;89.1;90.2;90.2;;;;;;;;;;88.3;87.0;89.7;90.9;91.9;91.4;32.3;33.8;35.1;35.0;35.9;35.5;35.3;36.0;36.8;36.6;37.3;39.7;39.7;39.7;40.7;28.5;27.7;27.8;25.2;29.8;27.9;29.2;29.6;30.3;32.5;29.0;31.0;29.6;29.6;30.7;;;;;;;;;;85.7;85.1;88.0;89.1;90.0;89.8;;;;;;;;;;57.0;59.4;62.5;64.9;66.7;67.0;;;;;;;;;;57.9;52.0;52.4;53.8;55.0;57.4;;;;;;;;;;72.4;72.0;75.0;76.0;77.1;77.0;;;;;;;;;;77.6;77.2;79.9;81.6;82.9;82.9;68.4;69.2;70.7;70.8;72.9;73.4;74.1;75.8;77.8;78.5;77.7;80.9;82.3;83.2;82.9;;;;;;;;;;17.4;18.1;19.2;19.0;18.4;19.1;
1600000;"OPOLSKIE";;;;;;;;;;54.1;54.4;57.2;56.1;55.9;56.2;;;;;;;;;;51.8;47.8;52.4;47.8;48.8;47.1;;;;;;;;;;83.2;83.8;87.6;87.8;86.6;88.8;;;;;;;;;;85.5;86.4;87.9;87.9;85.4;88.1;27.4;28.9;30.0;29.8;31.0;31.5;32.2;34.3;33.5;33.2;34.2;36.6;35.9;36.6;36.1;28.7;28.6;29.4;27.1;27.3;26.5;31.3;35.1;34.8;34.1;31.0;30.1;25.9;30.9;28.4;;;;;;;;;;82.5;82.9;86.1;86.1;85.6;87.6;;;;;;;;;;51.5;54.2;59.0;56.6;56.2;56.0;;;;;;;;;;53.3;48.9;57.5;45.0;59.0;57.1;;;;;;;;;;68.7;69.1;72.7;71.2;71.8;72.7;;;;;;;;;;72.7;73.2;77.9;76.3;76.9;78.4;63.0;64.1;65.1;65.2;66.5;68.7;70.4;72.2;74.5;74.9;75.3;79.6;78.4;79.1;80.8;;;;;;;;;;12.4;13.2;15.4;15.5;15.0;14.9;
1800000;"PODKARPACKIE";;;;;;;;;;48.6;49.3;50.3;50.2;51.4;51.2;;;;;;;;;;43.3;39.8;39.3;40.5;41.7;38.1;;;;;;;;;;77.3;79.9;80.5;79.7;81.6;80.5;;;;;;;;;;76.3;77.5;81.4;80.7;83.5;85.1;22.8;23.4;23.9;24.2;24.3;26.2;28.3;29.0;28.8;28.8;30.4;32.2;32.2;32.8;32.6;18.2;16.9;15.6;16.5;17.4;16.3;21.5;24.4;24.2;23.1;19.4;18.3;20.0;22.0;19.0;;;;;;;;;;75.7;77.3;78.9;78.6;80.8;81.9;;;;;;;;;;43.4;46.0;48.9;50.4;53.1;54.2;;;;;;;;;;42.7;36.4;34.9;37.1;36.6;37.4;;;;;;;;;;60.6;61.5;63.0;63.4;65.6;65.8;;;;;;;;;;65.5;66.6;68.3;68.7;70.5;71.7;54.2;53.4;54.4;55.0;56.0;57.9;62.3;64.1;64.4;66.4;67.3;69.0;69.1;71.4;72.7;;;;;;;;;;10.5;11.2;12.3;12.1;12.0;12.4;
2000000;"PODLASKIE";;;;;;;;;;53.9;54.1;56.1;57.1;57.1;55.5;;;;;;;;;;47.3;46.7;44.1;47.7;47.4;43.1;;;;;;;;;;84.8;84.0;86.3;87.9;86.4;83.7;;;;;;;;;;84.7;84.8;88.6;89.6;89.2;87.6;28.0;30.6;31.2;31.3;32.5;32.6;32.5;33.7;33.3;33.6;34.7;37.3;37.6;39.1;38.0;22.4;22.0;21.7;20.6;19.1;23.7;25.6;27.0;31.3;27.9;27.3;24.1;26.4;21.7;20.8;;;;;;;;;;83.5;83.2;85.6;86.9;87.3;85.9;;;;;;;;;;48.7;51.6;58.8;59.2;64.1;63.2;;;;;;;;;;50.8;49.2;43.6;46.6;42.3;40.8;;;;;;;;;;67.4;67.7;70.6;72.2;72.7;71.1;;;;;;;;;;72.6;72.7;76.1;77.5;78.5;77.4;62.4;64.0;65.0;65.4;66.5;67.0;68.9;71.5;73.7;73.7;73.8;76.7;78.6;78.9;77.5;;;;;;;;;;12.2;13.2;14.5;15.8;17.4;17.6;
